C1,W,Lg,Ls,VGS,Bandwidth,DCPowerConsumption,S11,NoiseFigure,PowerGain
2e-13,3.5e-06,5.2e-09,1e-10,0.9,4330000000,0.002381,-18.57,1.82,9.742
2e-13,3.5e-06,5.2e-09,1e-10,0.5,2792000000,0.0001058,-8.9,1.945,3.271
2e-13,3.5e-06,5.2e-09,1e-10,0.6333,3806000000,0.0005886,-15.07,1.807,8.598
2e-13,3.5e-06,5.2e-09,1e-10,0.7667,4190000000,0.001432,-17.02,1.812,9.634
2e-13,3.5e-06,5.2e-09,1.25e-10,0.9,4851000000,0.002381,-13.74,1.818,8.813
2e-13,3.5e-06,5.2e-09,1.25e-10,0.5,2890000000,0.0001058,-10.57,1.936,2.942
2e-13,3.5e-06,5.2e-09,1.25e-10,0.6333,4156000000,0.0005886,-15.05,1.808,7.836
2e-13,3.5e-06,5.2e-09,1.25e-10,0.7667,4666000000,0.001432,-13.76,1.812,8.737
2e-13,3.5e-06,5.2e-09,1.5e-10,0.9,5380000000,0.002381,-11.09,1.817,7.972
2e-13,3.5e-06,5.2e-09,1.5e-10,0.5,2996000000,0.0001058,-12.47,1.928,2.614
2e-13,3.5e-06,5.2e-09,1.5e-10,0.6333,4517000000,0.0005886,-13.46,1.809,7.126
2e-13,3.5e-06,5.2e-09,1.5e-10,0.7667,5165000000,0.001432,-11.33,1.808,7.918
2e-13,3.5e-06,5.2e-09,1.75e-10,0.9,5902000000,0.002381,-9.352,1.816,7.225
2e-13,3.5e-06,5.2e-09,1.75e-10,0.5,3108000000,0.0001058,-14.68,1.921,2.29
2e-13,3.5e-06,5.2e-09,1.75e-10,0.6333,4897000000,0.0005886,-11.76,1.804,6.463
2e-13,3.5e-06,5.2e-09,1.75e-10,0.7667,5666000000,0.001432,-9.614,1.804,7.165
2e-13,3.5e-06,5.2e-09,2e-10,0.9,6399000000,0.002381,-8.113,1.816,6.554
2e-13,3.5e-06,5.2e-09,2e-10,0.5,3228000000,0.0001058,-17.32,1.915,1.97
2e-13,3.5e-06,5.2e-09,2e-10,0.6333,5285000000,0.0005886,-10.32,1.8,5.841
2e-13,3.5e-06,5.2e-09,2e-10,0.7667,6188000000,0.001432,-8.355,1.801,6.469
2e-13,3.5e-06,4e-09,1e-10,0.9,5439000000,0.002381,-17.5,1.884,8.658
2e-13,3.5e-06,4e-09,1e-10,0.5,3516000000,0.0001058,-10.34,1.984,2.306
2e-13,3.5e-06,4e-09,1e-10,0.6333,4838000000,0.0005886,-23.75,1.851,7.488
2e-13,3.5e-06,4e-09,1e-10,0.7667,5361000000,0.001432,-14.71,1.857,8.479
2e-13,3.5e-06,4e-09,1.25e-10,0.9,6116000000,0.002381,-12.99,1.88,7.708
2e-13,3.5e-06,4e-09,1.25e-10,0.5,3709000000,0.0001058,-11.75,1.983,1.897
2e-13,3.5e-06,4e-09,1.25e-10,0.6333,5354000000,0.0005886,-17.23,1.849,6.661
2e-13,3.5e-06,4e-09,1.25e-10,0.7667,5967000000,0.001432,-12.07,1.858,7.577
2e-13,3.5e-06,4e-09,1.5e-10,0.9,6807000000,0.002381,-10.49,1.876,6.848
2e-13,3.5e-06,4e-09,1.5e-10,0.5,3909000000,0.0001058,-12.99,1.983,1.499
2e-13,3.5e-06,4e-09,1.5e-10,0.6333,5848000000,0.0005886,-13.6,1.847,5.931
2e-13,3.5e-06,4e-09,1.5e-10,0.7667,6605000000,0.001432,-10.24,1.859,6.75
2e-13,3.5e-06,4e-09,1.75e-10,0.9,7527000000,0.002381,-8.842,1.874,6.062
2e-13,3.5e-06,4e-09,1.75e-10,0.5,4078000000,0.0001058,-13.88,1.984,1.157
2e-13,3.5e-06,4e-09,1.75e-10,0.6333,6314000000,0.0005886,-11.34,1.847,5.276
2e-13,3.5e-06,4e-09,1.75e-10,0.7667,7259000000,0.001432,-8.824,1.861,5.988
2e-13,3.5e-06,4e-09,2e-10,0.9,8197000000,0.002381,-7.663,1.873,5.373
2e-13,3.5e-06,4e-09,2e-10,0.5,4211000000,0.0001058,-14.29,1.985,0.8607
2e-13,3.5e-06,4e-09,2e-10,0.6333,6802000000,0.0005886,-9.768,1.847,4.658
2e-13,3.5e-06,4e-09,2e-10,0.7667,7941000000,0.001432,-7.728,1.856,5.283
2e-13,3.5e-06,4.22e-09,1e-10,0.9,5200000000,0.002381,-17.84,1.868,8.867
2e-13,3.5e-06,4.22e-09,1e-10,0.5,3329000000,0.0001058,-9.621,1.988,2.534
2e-13,3.5e-06,4.22e-09,1e-10,0.6333,4664000000,0.0005886,-18.18,1.841,7.661
2e-13,3.5e-06,4.22e-09,1e-10,0.7667,5078000000,0.001432,-15.44,1.849,8.731
2e-13,3.5e-06,4.22e-09,1.25e-10,0.9,5851000000,0.002381,-13.13,1.865,7.919
2e-13,3.5e-06,4.22e-09,1.25e-10,0.5,3461000000,0.0001058,-11.55,1.978,2.191
2e-13,3.5e-06,4.22e-09,1.25e-10,0.6333,5075000000,0.0005886,-15.46,1.84,6.906
2e-13,3.5e-06,4.22e-09,1.25e-10,0.7667,5662000000,0.001432,-12.76,1.851,7.822
2e-13,3.5e-06,4.22e-09,1.5e-10,0.9,6510000000,0.002381,-10.59,1.863,7.061
2e-13,3.5e-06,4.22e-09,1.5e-10,0.5,3603000000,0.0001058,-13.85,1.969,1.849
2e-13,3.5e-06,4.22e-09,1.5e-10,0.6333,5514000000,0.0005886,-12.87,1.84,6.198
2e-13,3.5e-06,4.22e-09,1.5e-10,0.7667,6269000000,0.001432,-10.62,1.852,6.991
2e-13,3.5e-06,4.22e-09,1.75e-10,0.9,7128000000,0.002381,-8.927,1.862,6.315
2e-13,3.5e-06,4.22e-09,1.75e-10,0.5,3751000000,0.0001058,-16.7,1.962,1.51
2e-13,3.5e-06,4.22e-09,1.75e-10,0.6333,5966000000,0.0005886,-10.97,1.841,5.534
2e-13,3.5e-06,4.22e-09,1.75e-10,0.7667,6898000000,0.001432,-9.067,1.847,6.227
2e-13,3.5e-06,4.22e-09,2e-10,0.9,7761000000,0.002381,-7.739,1.862,5.626
2e-13,3.5e-06,4.22e-09,2e-10,0.5,3905000000,0.0001058,-20.54,1.955,1.175
2e-13,3.5e-06,4.22e-09,2e-10,0.6333,6438000000,0.0005886,-9.563,1.842,4.909
2e-13,3.5e-06,4.22e-09,2e-10,0.7667,7549000000,0.001432,-7.902,1.843,5.52
2e-13,3.5e-06,4.44e-09,1e-10,0.9,4974000000,0.002381,-17.95,1.856,9.077
2e-13,3.5e-06,4.44e-09,1e-10,0.5,3112000000,0.0001058,-10.73,1.96,2.811
2e-13,3.5e-06,4.44e-09,1e-10,0.6333,4426000000,0.0005886,-16.03,1.832,7.902
2e-13,3.5e-06,4.44e-09,1e-10,0.7667,4837000000,0.001432,-16.06,1.841,8.956
2e-13,3.5e-06,4.44e-09,1.25e-10,0.9,5589000000,0.002381,-13.25,1.854,8.133
2e-13,3.5e-06,4.44e-09,1.25e-10,0.5,3266000000,0.0001058,-12.83,1.955,2.432
2e-13,3.5e-06,4.44e-09,1.25e-10,0.6333,4824000000,0.0005886,-14.39,1.832,7.142
2e-13,3.5e-06,4.44e-09,1.25e-10,0.7667,5399000000,0.001432,-13.08,1.843,8.048
2e-13,3.5e-06,4.44e-09,1.5e-10,0.9,6219000000,0.002381,-10.69,1.852,7.28
2e-13,3.5e-06,4.44e-09,1.5e-10,0.5,3425000000,0.0001058,-15.28,1.95,2.061
2e-13,3.5e-06,4.44e-09,1.5e-10,0.6333,5244000000,0.0005886,-12.41,1.833,6.431
2e-13,3.5e-06,4.44e-09,1.5e-10,0.7667,5972000000,0.001432,-10.83,1.84,7.218
2e-13,3.5e-06,4.44e-09,1.75e-10,0.9,6791000000,0.002381,-9.015,1.851,6.544
2e-13,3.5e-06,4.44e-09,1.75e-10,0.5,3585000000,0.0001058,-18.18,1.946,1.697
2e-13,3.5e-06,4.44e-09,1.75e-10,0.6333,5677000000,0.0005886,-11.01,1.834,5.765
2e-13,3.5e-06,4.44e-09,1.75e-10,0.7667,6572000000,0.001432,-9.214,1.836,6.456
2e-13,3.5e-06,4.44e-09,2e-10,0.9,7393000000,0.002381,-7.819,1.851,5.857
2e-13,3.5e-06,4.44e-09,2e-10,0.5,3750000000,0.0001058,-21.37,1.944,1.342
2e-13,3.5e-06,4.44e-09,2e-10,0.6333,6124000000,0.0005886,-9.756,1.831,5.139
2e-13,3.5e-06,4.44e-09,2e-10,0.7667,7186000000,0.001432,-8.018,1.832,5.751
2e-13,3.5e-06,4.67e-09,1e-10,0.9,4748000000,0.002381,-18.42,1.846,9.297
2e-13,3.5e-06,4.67e-09,1e-10,0.5,3002000000,0.0001058,-10.58,1.946,2.96
2e-13,3.5e-06,4.67e-09,1e-10,0.6333,4242000000,0.0005886,-15.56,1.823,8.097
2e-13,3.5e-06,4.67e-09,1e-10,0.7667,4629000000,0.001432,-15.72,1.83,9.16
2e-13,3.5e-06,4.67e-09,1.25e-10,0.9,5326000000,0.002381,-13.48,1.843,8.358
2e-13,3.5e-06,4.67e-09,1.25e-10,0.5,3160000000,0.0001058,-12.31,1.942,2.565
2e-13,3.5e-06,4.67e-09,1.25e-10,0.6333,4622000000,0.0005886,-14.2,1.823,7.343
2e-13,3.5e-06,4.67e-09,1.25e-10,0.7667,5164000000,0.001432,-13.05,1.832,8.259
2e-13,3.5e-06,4.67e-09,1.5e-10,0.9,5929000000,0.002381,-10.85,1.841,7.508
2e-13,3.5e-06,4.67e-09,1.5e-10,0.5,3320000000,0.0001058,-14.05,1.94,2.18
2e-13,3.5e-06,4.67e-09,1.5e-10,0.6333,5016000000,0.0005886,-12.39,1.824,6.637
2e-13,3.5e-06,4.67e-09,1.5e-10,0.7667,5706000000,0.001432,-10.87,1.832,7.436
2e-13,3.5e-06,4.67e-09,1.75e-10,0.9,6513000000,0.002381,-9.142,1.84,6.746
2e-13,3.5e-06,4.67e-09,1.75e-10,0.5,3483000000,0.0001058,-15.64,1.939,1.807
2e-13,3.5e-06,4.67e-09,1.75e-10,0.6333,5429000000,0.0005886,-11.04,1.825,5.975
2e-13,3.5e-06,4.67e-09,1.75e-10,0.7667,6270000000,0.001432,-9.28,1.828,6.678
2e-13,3.5e-06,4.67e-09,2e-10,0.9,7078000000,0.002381,-7.924,1.84,6.067
2e-13,3.5e-06,4.67e-09,2e-10,0.5,3650000000,0.0001058,-16.74,1.939,1.444
2e-13,3.5e-06,4.67e-09,2e-10,0.6333,5851000000,0.0005886,-9.816,1.824,5.354
