C,R,WN1_RF,WN2_LO,DCPowerConsumption,ConversionGain,NoiseFigure,VoltageSwing
5e-12,5000.0,1.2e-05,6e-06,0.0137,-2.464,9.269,0.0024
5e-12,5000.0,1.2e-05,5e-06,0.0139,-2.73,9.61,0.00234
5e-12,5000.0,1.2e-05,7e-06,0.0135,-2.482,9.104,0.00242
5e-12,5000.0,1.2e-05,8e-06,0.0133,-2.598,8.993,0.00242
5e-12,5000.0,1.2e-05,9e-06,0.0132,-2.62,8.916,0.0024
5e-12,5000.0,1.2e-05,1e-05,0.0131,-2.568,8.879,0.00239
5e-12,5000.0,1.2e-05,1.1e-05,0.013,-2.584,8.886,0.00236
5e-12,5000.0,1.2e-05,1.2e-05,0.0129,-2.719,8.901,0.00233
5e-12,5000.0,1.2e-05,1.3e-05,0.0128,-2.91,8.919,0.0023
5e-12,5000.0,1.2e-05,1.4e-05,0.0128,-3.098,8.944,0.00227
5e-12,5000.0,1.2e-05,1.5e-05,0.0127,-3.256,8.974,0.00224
5e-12,5000.0,1.2e-05,1.6e-05,0.0127,-3.378,9.007,0.00221
5e-12,5000.0,1.2e-05,1.7e-05,0.0126,-3.471,9.042,0.00218
5e-12,5000.0,1.2e-05,1.8e-05,0.0126,-3.551,9.081,0.00215
5e-12,5000.0,1.2e-05,1.9e-05,0.0126,-3.631,9.125,0.00212
5e-12,5000.0,1.2e-05,2e-05,0.0125,-3.719,9.172,0.00209
5e-12,5000.0,1.2e-05,2.1e-05,0.0125,-3.816,9.222,0.00206
5e-12,5000.0,1.2e-05,2.2e-05,0.0125,-3.92,9.273,0.00203
5e-12,5000.0,1.2e-05,2.3e-05,0.0124,-4.028,9.324,0.00201
5e-12,5000.0,1.2e-05,2.4e-05,0.0124,-4.137,9.377,0.00198
5e-12,5000.0,1.2e-05,2.5e-05,0.0124,-4.246,9.43,0.00196
5e-12,5000.0,1e-05,6e-06,0.0139,-2.558,9.185,0.00237
5e-12,5000.0,1e-05,5e-06,0.0141,-2.773,9.433,0.00234
5e-12,5000.0,1e-05,7e-06,0.0138,-2.6,9.095,0.00237
5e-12,5000.0,1e-05,8e-06,0.0137,-2.775,9.035,0.00236
5e-12,5000.0,1e-05,9e-06,0.0135,-2.876,9.001,0.00234
5e-12,5000.0,1e-05,1e-05,0.0135,-2.864,8.982,0.00232
5e-12,5000.0,1e-05,1.1e-05,0.0134,-2.875,9.005,0.00229
5e-12,5000.0,1e-05,1.2e-05,0.0133,-2.993,9.041,0.00225
5e-12,5000.0,1e-05,1.3e-05,0.0133,-3.189,9.075,0.00222
5e-12,5000.0,1e-05,1.4e-05,0.0132,-3.4,9.112,0.00219
5e-12,5000.0,1e-05,1.5e-05,0.0132,-3.592,9.153,0.00215
5e-12,5000.0,1e-05,1.6e-05,0.0131,-3.751,9.196,0.00212
5e-12,5000.0,1e-05,1.7e-05,0.0131,-3.88,9.242,0.00208
5e-12,5000.0,1e-05,1.8e-05,0.0131,-3.988,9.29,0.00205
5e-12,5000.0,1e-05,1.9e-05,0.013,-4.087,9.342,0.00202
