C,R,W,ConversionGain,NoiseFigure,VoltageSwing
1e-13,100,2e-05,-20.76,9.973,0.001308
1e-13,100,1.3e-05,-3.87,9.775,0.001357
1e-13,100,1.4e-05,-11.16,9.758,0.001354
1e-13,100,1.5e-05,-16.95,9.76,0.001352
1e-13,100,1.6e-05,-17.38,9.777,0.001343
1e-13,100,1.7e-05,-18.15,9.809,0.001334
1e-13,100,1.8e-05,-18.9,9.852,0.001324
1e-13,100,1.9e-05,-19.93,9.908,0.001314
1e-13,100,2.1e-05,-22.17,10.05,0.001293
1e-13,100,2.2e-05,-23.83,10.14,0.001266
1e-13,100,2.3e-05,-25.03,10.23,0.00127
1e-13,100,2.4e-05,-27.52,10.34,0.001245
1e-13,100,2.5e-05,-30.98,10.45,0.001238
1e-13,100,2.6e-05,-34.95,10.58,0.001215
1e-13,100,2.7e-05,-47.49,10.72,0.001187
1e-13,100,2.8e-05,-42.25,10.87,0.001189
1e-13,100,2.9e-05,-35.9,11.04,0.001179
1e-13,100,3e-05,-31.54,11.22,0.00115
1e-13,110,2e-05,-21.22,9.746,0.001331
1e-13,110,1e-05,-2.993,9.725,0.001376
1e-13,110,1.3e-05,-3.757,9.535,0.001389
1e-13,110,1.4e-05,-11.02,9.521,0.001385
1e-13,110,1.5e-05,-17.07,9.525,0.001381
1e-13,110,1.6e-05,-17.51,9.544,0.001376
1e-13,110,1.7e-05,-18.29,9.578,0.001367
1e-13,110,1.8e-05,-19.05,9.623,0.001356
1e-13,110,1.9e-05,-20.12,9.679,0.001347
1e-13,110,2.1e-05,-22.41,9.824,0.001322
1e-13,110,2.2e-05,-24.12,9.91,0.001296
1e-13,110,2.3e-05,-25.73,10.01,0.001295
1e-13,110,2.4e-05,-27.93,10.11,0.001279
1e-13,110,2.5e-05,-31.64,10.23,0.001259
1e-13,110,2.6e-05,-35.95,10.36,0.001247
1e-13,110,2.7e-05,-47.64,10.5,0.001215
1e-13,110,2.8e-05,-40.13,10.65,0.001219
1e-13,110,2.9e-05,-34.32,10.81,0.001199
1e-13,110,3e-05,-30.68,10.99,0.00118
1e-13,120,2e-05,-21.42,9.548,0.001362
1e-13,120,1e-05,-2.941,9.505,0.001407
1e-13,120,1.3e-05,-3.68,9.324,0.001417
1e-13,120,1.5e-05,-17.17,9.318,0.001408
1e-13,120,1.6e-05,-17.62,9.34,0.001402
1e-13,120,1.7e-05,-18.42,9.375,0.001394
1e-13,120,1.8e-05,-19.39,9.422,0.001384
1e-13,120,1.9e-05,-20.29,9.48,0.001372
1e-13,120,2.1e-05,-22.62,9.626,0.001347
1e-13,120,2.2e-05,-24.38,9.713,0.001333
1e-13,120,2.3e-05,-26.03,9.81,0.001319
1e-13,120,2.4e-05,-28.33,9.917,0.001302
1e-13,120,2.5e-05,-32.19,10.03,0.001287
1e-13,120,2.6e-05,-36.8,10.16,0.00127
1e-13,120,2.7e-05,-46.59,10.3,0.001239
1e-13,120,2.8e-05,-38.6,10.45,0.001243
1e-13,120,2.9e-05,-33.59,10.61,0.001226
1e-13,120,3e-05,-30.22,10.79,0.001201
1e-13,130,2e-05,-21.59,9.372,0.001383
1e-13,130,1.3e-05,-3.626,9.137,0.001444
1e-13,130,1.4e-05,-11.61,9.127,0.001442
1e-13,130,1.5e-05,-17.27,9.136,0.001437
1e-13,130,1.6e-05,-17.81,9.159,0.001426
1e-13,130,1.7e-05,-18.54,9.196,0.001419
1e-13,130,1.8e-05,-19.49,9.244,0.001411
1e-13,130,1.9e-05,-20.44,9.303,0.001399
1e-13,130,2.1e-05,-23.06,9.45,0.001369
1e-13,130,2.2e-05,-24.61,9.539,0.001333
1e-13,130,2.3e-05,-26.3,9.636,0.001344
1e-13,130,2.4e-05,-29.14,9.743,0.001327
1e-13,130,2.5e-05,-32.49,9.859,0.001308
1e-13,130,2.6e-05,-37.25,9.986,0.001298
1e-13,130,2.7e-05,-44.75,10.12,0.001261
1e-13,130,2.8e-05,-37.41,10.28,0.001263
1e-13,130,2.9e-05,-32.98,10.44,0.001248
1e-13,130,3e-05,-29.94,10.62,0.001218
1e-13,140,2e-05,-21.75,9.215,0.001406
1e-13,140,1.3e-05,-3.594,8.969,0.001472
1e-13,140,1.4e-05,-11.51,8.962,0.001464
1e-13,140,1.5e-05,-17.35,8.973,0.001457
1e-13,140,1.6e-05,-17.92,8.997,0.001451
1e-13,140,1.7e-05,-18.64,9.036,0.001439
1e-13,140,1.8e-05,-19.61,9.085,0.00143
1e-13,140,1.9e-05,-20.58,9.145,0.001421
1e-13,140,2.1e-05,-23.25,9.294,0.001391
1e-13,140,2.2e-05,-24.83,9.383,0.001355
1e-13,140,2.3e-05,-26.55,9.481,0.001362
1e-13,140,2.4e-05,-29.4,9.587,0.001347
1e-13,140,2.5e-05,-32.52,9.704,0.001333
1e-13,140,2.6e-05,-37.74,9.831,0.001313
1e-13,140,2.7e-05,-43.05,9.97,0.00128
1e-13,140,2.8e-05,-36.46,10.12,0.001281
1e-13,140,2.9e-05,-32.45,10.28,0.001266
1e-13,140,3e-05,-29.58,10.46,0.00123
1e-13,150,2e-05,-21.89,9.074,0.001426
1e-13,150,1.3e-05,-3.574,8.819,0.00149
1e-13,150,1.4e-05,-11.44,8.814,0.001486
1e-13,150,1.5e-05,-17.44,8.826,0.00148
1e-13,150,1.6e-05,-18.01,8.852,0.001475
1e-13,150,1.7e-05,-18.73,8.892,0.001464
1e-13,150,1.8e-05,-19.71,8.942,0.001451
1e-13,150,1.9e-05,-20.7,9.004,0.001438
1e-13,150,2.1e-05,-23.42,9.154,0.001411
1e-13,150,2.2e-05,-24.98,9.243,0.001373
1e-13,150,2.3e-05,-26.77,9.342,0.001379
1e-13,150,2.4e-05,-29.7,9.449,0.001364
1e-13,150,2.5e-05,-33.29,9.565,0.001348
1e-13,150,2.6e-05,-38.04,9.692,0.001331
1e-13,150,2.7e-05,-41.59,9.831,0.001297
1e-13,150,2.8e-05,-35.68,9.98,0.001301
1e-13,150,2.9e-05,-32.0,10.14,0.00128
1e-13,150,3e-05,-29.29,10.32,0.001253
1e-13,160,2e-05,-22.0,8.947,0.001441
1e-13,160,1.4e-05,-11.39,8.68,0.001508
1e-13,160,1.5e-05,-17.51,8.694,0.001501
1e-13,160,1.6e-05,-18.1,8.721,0.001489
1e-13,160,1.7e-05,-18.82,8.762,0.001478
1e-13,160,1.8e-05,-19.81,8.813,0.001472
1e-13,160,1.9e-05,-20.8,8.875,0.001455
1e-13,160,2.1e-05,-23.55,9.028,0.001428
1e-13,160,2.2e-05,-25.4,9.117,0.001391
1e-13,160,2.3e-05,-26.92,9.216,0.0014
1e-13,160,2.4e-05,-29.97,9.323,0.00138
1e-13,160,2.5e-05,-33.54,9.44,0.001358
1e-13,160,2.6e-05,-38.23,9.567,0.001348
1e-13,160,2.7e-05,-40.4,9.705,0.001313
1e-13,160,2.8e-05,-35.04,9.855,0.001314
1e-13,160,2.9e-05,-31.68,10.02,0.001297
1e-13,160,3e-05,-29.04,10.19,0.001258
1e-13,170,2e-05,-22.12,8.832,0.00146
1e-13,170,1.3e-05,-3.611,8.559,0.001527
1e-13,170,1.4e-05,-11.34,8.558,0.001526
1e-13,170,1.5e-05,-17.58,8.573,0.001515
1e-13,170,1.6e-05,-18.17,8.602,0.001505
1e-13,170,1.7e-05,-18.91,8.644,0.001494
1e-13,170,1.8e-05,-19.91,8.696,0.001486
1e-13,170,1.9e-05,-21.04,8.759,0.001472
1e-13,170,2.1e-05,-23.69,8.913,0.001446
1e-13,170,2.2e-05,-25.57,9.003,0.001406
1e-13,170,2.3e-05,-27.1,9.102,0.001413
1e-13,170,2.4e-05,-30.22,9.209,0.001395
1e-13,170,2.5e-05,-33.86,9.327,0.001377
1e-13,170,2.6e-05,-38.31,9.453,0.001362
1e-13,170,2.7e-05,-39.42,9.591,0.001327
1e-13,170,2.8e-05,-34.55,9.739,0.001328
1e-13,170,2.9e-05,-31.33,9.901,0.001309
1e-13,170,3e-05,-28.81,10.08,0.001275
1e-13,180,2e-05,-22.22,8.726,0.001473
1e-13,180,1.3e-05,-2.192,8.446,0.001543
1e-13,180,1.4e-05,-11.3,8.447,0.001543
1e-13,180,1.5e-05,-17.68,8.463,0.001532
1e-13,180,1.6e-05,-18.25,8.494,0.001527
1e-13,180,1.7e-05,-18.98,8.536,0.001515
1e-13,180,1.8e-05,-20.0,8.59,0.001498
1e-13,180,1.9e-05,-21.14,8.653,0.001488
1e-13,180,2.1e-05,-23.82,8.808,0.001461
1e-13,180,2.2e-05,-25.73,8.899,0.00142
1e-13,180,2.3e-05,-27.26,8.998,0.001428
1e-13,180,2.4e-05,-30.43,9.106,0.001407
1e-13,180,2.5e-05,-34.12,9.223,0.001393
1e-13,180,2.6e-05,-1.734,9.35,0.001375
1e-13,180,2.7e-05,-38.59,9.487,0.00134
1e-13,180,2.8e-05,-34.07,9.635,0.001343
1e-13,180,2.9e-05,-31.01,9.797,0.001322
1e-13,180,3e-05,-28.6,9.973,0.001286
1e-13,190,2e-05,-22.33,8.63,0.001488
1e-13,190,1.3e-05,-2.224,8.343,0.001561
1e-13,190,1.4e-05,-11.26,8.344,0.001555
1e-13,190,1.5e-05,-17.74,8.362,0.001545
1e-13,190,1.6e-05,-18.31,8.394,0.001537
1e-13,190,1.7e-05,-19.05,8.438,0.001531
1e-13,190,1.8e-05,-20.08,8.492,0.001512
1e-13,190,1.9e-05,-21.24,8.556,0.001499
1e-13,190,2.1e-05,-23.94,8.712,0.001471
1e-13,190,2.2e-05,-25.87,8.803,0.001433
1e-13,190,2.3e-05,-27.41,8.903,0.001441
1e-13,190,2.4e-05,-30.63,9.011,0.00142
1e-13,190,2.5e-05,-34.34,9.128,0.001406
1e-13,190,2.6e-05,-38.17,9.255,0.001385
1e-13,190,2.7e-05,-37.16,9.392,0.001352
1e-13,190,2.8e-05,-33.65,9.54,0.001354
1e-13,190,2.9e-05,-30.74,9.701,0.001333
1e-13,190,3e-05,-28.42,9.877,0.001298
1e-13,200,2e-05,-22.42,8.541,0.001496
1e-13,200,1.3e-05,-2.253,8.247,0.001574
1e-13,200,1.5e-05,-17.8,8.269,0.001558
1e-13,200,1.6e-05,-18.37,8.302,0.001555
1e-13,200,1.7e-05,-19.12,8.347,0.001539
1e-13,200,1.8e-05,-20.16,8.402,0.001527
1e-13,200,1.9e-05,-21.33,8.467,0.001513
1e-13,200,2.1e-05,-24.05,8.624,0.001486
1e-13,200,2.2e-05,-26.0,8.715,0.001445
1e-13,200,2.3e-05,-27.55,8.815,0.001449
1e-13,200,2.4e-05,-30.8,8.923,0.001436
1e-13,200,2.5e-05,-34.52,9.041,0.001411
1e-13,200,2.6e-05,-37.98,9.167,0.001398
1e-13,200,2.7e-05,-36.6,9.305,0.001357
1e-13,200,2.8e-05,-32.89,9.452,0.001364
1e-13,200,2.9e-05,-30.49,9.613,0.001346
1e-13,200,3e-05,-28.25,9.788,0.001308
1e-13,210,2e-05,-22.5,8.459,0.001507
1e-13,210,1.3e-05,-2.28,8.159,0.001589
1e-13,210,1.4e-05,-11.33,8.163,0.001583
1e-13,210,1.5e-05,-17.85,8.184,0.001572
1e-13,210,1.6e-05,-18.43,8.217,0.001561
1e-13,210,1.7e-05,-19.25,8.263,0.001552
1e-13,210,1.8e-05,-20.23,8.319,0.001541
1e-13,210,1.9e-05,-21.41,8.385,0.001524
1e-13,210,2.1e-05,-24.15,8.543,0.001492
1e-13,210,2.2e-05,-26.13,8.634,0.001455
1e-13,210,2.3e-05,-27.68,8.734,0.001461
1e-13,210,2.4e-05,-30.95,8.843,0.001443
1e-13,210,2.5e-05,-34.67,8.96,0.001428
1e-13,210,2.6e-05,-37.78,9.087,0.001407
1e-13,210,2.7e-05,-36.08,9.223,0.001367
1e-13,210,2.8e-05,-32.57,9.371,0.001376
1e-13,210,2.9e-05,-30.27,9.532,0.001354
1e-13,210,3e-05,-28.1,9.706,0.001319
1e-13,220,2e-05,-22.58,8.384,0.001522
1e-13,220,1.3e-05,-2.305,8.077,0.001599
1e-13,220,1.4e-05,-11.3,8.083,0.001593
1e-13,220,1.5e-05,-17.9,8.104,0.001586
