C,Itail,R,WLO,WRF,DCPowerConsumption,ConversionGain,NoiseFigure,VoltageSwing
3e-12,0.006,1500.0,1.5e-05,2e-05,0.00644,-1.218,21.1,0.0123
3e-12,0.006,1500.0,1.5e-05,1e-05,0.00662,-2.31,18.95,0.00945
3e-12,0.006,1500.0,1.5e-05,1.2e-05,0.00658,-1.605,19.52,0.0103
3e-12,0.006,1500.0,1.5e-05,1.4e-05,0.00654,-1.209,20.01,0.0107
3e-12,0.006,1500.0,1.5e-05,1.6e-05,0.00651,-1.046,20.43,0.0112
3e-12,0.006,1500.0,1.5e-05,1.8e-05,0.00647,-1.062,20.79,0.0118
3e-12,0.006,1500.0,1.5e-05,2.2e-05,0.00642,-1.482,21.35,0.0127
3e-12,0.006,1500.0,1.5e-05,2.4e-05,0.00639,-1.829,21.56,0.013
3e-12,0.006,1500.0,1.5e-05,2.6e-05,0.00637,-2.24,21.74,0.0134
3e-12,0.006,1500.0,1.5e-05,2.8e-05,0.00635,-2.698,21.88,0.0137
3e-12,0.006,1500.0,1.5e-05,3e-05,0.00632,-3.192,21.99,0.014
3e-12,0.006,1500.0,1e-05,2e-05,0.00647,-1.317,21.41,0.011
3e-12,0.006,1500.0,1e-05,1e-05,0.00662,-2.364,19.05,0.00791
3e-12,0.006,1500.0,1e-05,1.2e-05,0.00658,-1.67,19.67,0.00873
3e-12,0.006,1500.0,1e-05,1.4e-05,0.00655,-1.275,20.2,0.00935
3e-12,0.006,1500.0,1e-05,1.6e-05,0.00652,-1.115,20.66,0.01
3e-12,0.006,1500.0,1e-05,1.8e-05,0.00649,-1.142,21.06,0.0103
3e-12,0.006,1500.0,1e-05,2.2e-05,0.00644,-1.606,21.71,0.0114
3e-12,0.006,1500.0,1e-05,2.4e-05,0.00642,-1.984,21.97,0.0117
3e-12,0.006,1500.0,1e-05,2.6e-05,0.0064,-2.429,22.18,0.0121
3e-12,0.006,1500.0,1e-05,2.8e-05,0.00639,-2.924,22.37,0.0123
3e-12,0.006,1500.0,1e-05,3e-05,0.00637,-3.456,22.53,0.0126
3e-12,0.006,1500.0,1.1e-05,2e-05,0.00646,-1.148,21.26,0.0112
3e-12,0.006,1500.0,1.1e-05,1e-05,0.00662,-2.353,18.97,0.00823
3e-12,0.006,1500.0,1.1e-05,1.2e-05,0.00658,-1.597,19.57,0.00908
3e-12,0.006,1500.0,1.1e-05,1.4e-05,0.00655,-1.162,20.09,0.00974
3e-12,0.006,1500.0,1.1e-05,1.6e-05,0.00652,-0.976,20.54,0.0102
3e-12,0.006,1500.0,1.1e-05,1.8e-05,0.00649,-0.986,20.92,0.0107
3e-12,0.006,1500.0,1.1e-05,2.2e-05,0.00644,-1.428,21.55,0.0116
3e-12,0.006,1500.0,1.1e-05,2.4e-05,0.00642,-1.798,21.79,0.012
3e-12,0.006,1500.0,1.1e-05,2.6e-05,0.0064,-2.236,22.0,0.0124
3e-12,0.006,1500.0,1.1e-05,2.8e-05,0.00638,-2.725,22.18,0.0128
3e-12,0.006,1500.0,1.1e-05,3e-05,0.00636,-3.251,22.33,0.013
3e-12,0.006,1500.0,1.2e-05,2e-05,0.00646,-1.039,21.17,0.0115
3e-12,0.006,1500.0,1.2e-05,1e-05,0.00662,-2.264,18.93,0.00871
3e-12,0.006,1500.0,1.2e-05,1.2e-05,0.00658,-1.494,19.51,0.00947
3e-12,0.006,1500.0,1.2e-05,1.4e-05,0.00655,-1.054,20.02,0.01
3e-12,0.006,1500.0,1.2e-05,1.6e-05,0.00651,-0.866,20.46,0.0105
3e-12,0.006,1500.0,1.2e-05,1.8e-05,0.00648,-0.876,20.84,0.0113
3e-12,0.006,1500.0,1.2e-05,2.2e-05,0.00643,-1.32,21.45,0.0121
3e-12,0.006,1500.0,1.2e-05,2.4e-05,0.00641,-1.69,21.69,0.0123
3e-12,0.006,1500.0,1.2e-05,2.6e-05,0.00639,-2.128,21.89,0.0126
3e-12,0.006,1500.0,1.2e-05,2.8e-05,0.00637,-2.615,22.06,0.013
3e-12,0.006,1500.0,1.2e-05,3e-05,0.00635,-3.139,22.2,0.0132
3e-12,0.006,1500.0,1.3e-05,2e-05,0.00645,-1.022,21.13,0.0118
3e-12,0.006,1500.0,1.3e-05,1e-05,0.00662,-2.192,18.9,0.00877
3e-12,0.006,1500.0,1.3e-05,1.2e-05,0.00658,-1.435,19.48,0.00945
3e-12,0.006,1500.0,1.3e-05,1.4e-05,0.00654,-1.008,19.99,0.0103
3e-12,0.006,1500.0,1.3e-05,1.6e-05,0.00651,-0.833,20.42,0.0108
3e-12,0.006,1500.0,1.3e-05,1.8e-05,0.00648,-0.853,20.8,0.0113
3e-12,0.006,1500.0,1.3e-05,2.2e-05,0.00643,-1.308,21.4,0.0122
3e-12,0.006,1500.0,1.3e-05,2.4e-05,0.0064,-1.68,21.64,0.0127
3e-12,0.006,1500.0,1.3e-05,2.6e-05,0.00638,-2.119,21.83,0.0129
3e-12,0.006,1500.0,1.3e-05,2.8e-05,0.00636,-2.607,21.99,0.0133
3e-12,0.006,1500.0,1.3e-05,3e-05,0.00634,-3.13,22.13,0.0136
3e-12,0.006,1500.0,1.4e-05,2e-05,0.00645,-1.104,21.1,0.012
3e-12,0.006,1500.0,1.4e-05,1e-05,0.00662,-2.196,18.9,0.00901
3e-12,0.006,1500.0,1.4e-05,1.2e-05,0.00658,-1.469,19.48,0.00989
3e-12,0.006,1500.0,1.4e-05,1.4e-05,0.00654,-1.065,19.98,0.0104
3e-12,0.006,1500.0,1.4e-05,1.6e-05,0.00651,-0.905,20.41,0.0111
3e-12,0.006,1500.0,1.4e-05,1.8e-05,0.00648,-0.932,20.78,0.0116
3e-12,0.006,1500.0,1.4e-05,2.2e-05,0.00642,-1.387,21.38,0.0125
3e-12,0.006,1500.0,1.4e-05,2.4e-05,0.0064,-1.755,21.6,0.0128
3e-12,0.006,1500.0,1.4e-05,2.6e-05,0.00637,-2.186,21.79,0.0132
3e-12,0.006,1500.0,1.4e-05,2.8e-05,0.00635,-2.666,21.95,0.0135
3e-12,0.006,1500.0,1.4e-05,3e-05,0.00633,-3.18,22.07,0.0139
3e-12,0.006,1500.0,1.6e-05,2e-05,0.00644,-1.283,21.09,0.0125
3e-12,0.006,1500.0,1.6e-05,1e-05,0.00662,-2.487,19.02,0.00959
3e-12,0.006,1500.0,1.6e-05,1.2e-05,0.00658,-1.775,19.58,0.0101
3e-12,0.006,1500.0,1.6e-05,1.4e-05,0.00654,-1.361,20.06,0.0108
3e-12,0.006,1500.0,1.6e-05,1.6e-05,0.0065,-1.173,20.47,0.0116
3e-12,0.006,1500.0,1.6e-05,1.8e-05,0.00647,-1.159,20.81,0.0119
3e-12,0.006,1500.0,1.6e-05,2.2e-05,0.00641,-1.513,21.33,0.0129
3e-12,0.006,1500.0,1.6e-05,2.4e-05,0.00638,-1.828,21.53,0.0133
3e-12,0.006,1500.0,1.6e-05,2.6e-05,0.00636,-2.211,21.68,0.0137
3e-12,0.006,1500.0,1.6e-05,2.8e-05,0.00634,-2.647,21.81,0.0139
3e-12,0.006,1500.0,1.6e-05,3e-05,0.00632,-3.123,21.91,0.0143
3e-12,0.006,1500.0,1.7e-05,2e-05,0.00643,-1.256,21.08,0.0128
3e-12,0.006,1500.0,1.7e-05,1e-05,0.00662,-2.65,19.09,0.00964
3e-12,0.006,1500.0,1.7e-05,1.2e-05,0.00658,-1.909,19.64,0.0103
3e-12,0.006,1500.0,1.7e-05,1.4e-05,0.00654,-1.458,20.1,0.0112
3e-12,0.006,1500.0,1.7e-05,1.6e-05,0.0065,-1.227,20.49,0.0118
3e-12,0.006,1500.0,1.7e-05,1.8e-05,0.00647,-1.17,20.81,0.0122
3e-12,0.006,1500.0,1.7e-05,2.2e-05,0.0064,-1.458,21.31,0.0132
3e-12,0.006,1500.0,1.7e-05,2.4e-05,0.00638,-1.755,21.49,0.0136
3e-12,0.006,1500.0,1.7e-05,2.6e-05,0.00635,-2.126,21.64,0.0139
3e-12,0.006,1500.0,1.7e-05,2.8e-05,0.00633,-2.555,21.76,0.0141
3e-12,0.006,1500.0,1.7e-05,3e-05,0.00631,-3.027,21.86,0.0145
3e-12,0.006,1500.0,1.8e-05,2e-05,0.00643,-1.186,21.07,0.0128
3e-12,0.006,1500.0,1.8e-05,1e-05,0.00662,-2.76,19.15,0.00997
3e-12,0.006,1500.0,1.8e-05,1.2e-05,0.00657,-1.971,19.68,0.011
3e-12,0.006,1500.0,1.8e-05,1.4e-05,0.00653,-1.469,20.12,0.0111
3e-12,0.006,1500.0,1.8e-05,1.6e-05,0.0065,-1.196,20.49,0.0118
3e-12,0.006,1500.0,1.8e-05,1.8e-05,0.00646,-1.114,20.81,0.0123
3e-12,0.006,1500.0,1.8e-05,2.2e-05,0.0064,-1.383,21.3,0.0132
3e-12,0.006,1500.0,1.8e-05,2.4e-05,0.00637,-1.678,21.48,0.0138
3e-12,0.006,1500.0,1.8e-05,2.6e-05,0.00635,-2.049,21.63,0.014
3e-12,0.006,1500.0,1.8e-05,2.8e-05,0.00632,-2.478,21.74,0.0143
3e-12,0.006,1500.0,1.8e-05,3e-05,0.0063,-2.952,21.84,0.0146
3e-12,0.006,1500.0,1.9e-05,2e-05,0.00643,-1.132,21.08,0.0131
3e-12,0.006,1500.0,1.9e-05,1e-05,0.00662,-2.795,19.18,0.00993
3e-12,0.006,1500.0,1.9e-05,1.2e-05,0.00657,-1.957,19.7,0.0108
3e-12,0.006,1500.0,1.9e-05,1.4e-05,0.00653,-1.426,20.14,0.0113
3e-12,0.006,1500.0,1.9e-05,1.6e-05,0.00649,-1.143,20.5,0.0122
3e-12,0.006,1500.0,1.9e-05,1.8e-05,0.00646,-1.058,20.82,0.0126
3e-12,0.006,1500.0,1.9e-05,2.2e-05,0.00639,-1.332,21.3,0.0137
3e-12,0.006,1500.0,1.9e-05,2.4e-05,0.00637,-1.63,21.48,0.0139
3e-12,0.006,1500.0,1.9e-05,2.6e-05,0.00634,-2.006,21.63,0.0142
3e-12,0.006,1500.0,1.9e-05,2.8e-05,0.00631,-2.44,21.75,0.0146
3e-12,0.006,1500.0,1.9e-05,3e-05,0.00629,-2.918,21.84,0.0149
3e-12,0.006,1500.0,2e-05,2e-05,0.00642,-1.113,21.1,0.0134
3e-12,0.006,1500.0,2e-05,1e-05,0.00662,-2.776,19.2,0.0103
3e-12,0.006,1500.0,2e-05,1.2e-05,0.00657,-1.92,19.71,0.0109
3e-12,0.006,1500.0,2e-05,1.4e-05,0.00653,-1.389,20.15,0.0117
3e-12,0.006,1500.0,2e-05,1.6e-05,0.00649,-1.11,20.52,0.0123
3e-12,0.006,1500.0,2e-05,1.8e-05,0.00646,-1.032,20.83,0.0127
3e-12,0.006,1500.0,2e-05,2.2e-05,0.00639,-1.32,21.32,0.0138
3e-12,0.006,1500.0,2e-05,2.4e-05,0.00636,-1.626,21.5,0.0141
3e-12,0.006,1500.0,2e-05,2.6e-05,0.00633,-2.007,21.65,0.0146
3e-12,0.006,1500.0,2e-05,2.8e-05,0.00631,-2.448,21.77,0.0148
3e-12,0.006,1500.0,2e-05,3e-05,0.00628,-2.932,21.87,0.0152
3e-12,0.006,700.0,1.5e-05,2e-05,0.00847,-1.305,21.74,0.013
3e-12,0.006,700.0,1.5e-05,1e-05,0.00848,-2.614,19.89,0.00933
3e-12,0.006,700.0,1.5e-05,1.2e-05,0.00849,-1.825,20.39,0.0103
3e-12,0.006,700.0,1.5e-05,1.4e-05,0.00849,-1.368,20.82,0.011
3e-12,0.006,700.0,1.5e-05,1.6e-05,0.00849,-1.165,21.18,0.0118
3e-12,0.006,700.0,1.5e-05,1.8e-05,0.00848,-1.159,21.48,0.0123
3e-12,0.006,700.0,1.5e-05,2.2e-05,0.00846,-1.569,21.95,0.0133
3e-12,0.006,700.0,1.5e-05,2.4e-05,0.00845,-1.922,22.12,0.0139
3e-12,0.006,700.0,1.5e-05,2.6e-05,0.00844,-2.344,22.25,0.0144
3e-12,0.006,700.0,1.5e-05,2.8e-05,0.00844,-2.816,22.35,0.0145
3e-12,0.006,700.0,1.5e-05,3e-05,0.00843,-3.324,22.42,0.0148
3e-12,0.006,700.0,1e-05,2e-05,0.00841,-1.696,22.18,0.0113
3e-12,0.006,700.0,1e-05,1e-05,0.00845,-2.628,20.04,0.00823
3e-12,0.006,700.0,1e-05,1.2e-05,0.00845,-1.957,20.6,0.00898
3e-12,0.006,700.0,1e-05,1.4e-05,0.00844,-1.594,21.09,0.00965
3e-12,0.006,700.0,1e-05,1.6e-05,0.00843,-1.464,21.5,0.0104
3e-12,0.006,700.0,1e-05,1.8e-05,0.00842,-1.512,21.87,0.011
3e-12,0.006,700.0,1e-05,2.2e-05,0.0084,-1.987,22.44,0.0119
3e-12,0.006,700.0,1e-05,2.4e-05,0.00839,-2.36,22.66,0.0122
3e-12,0.006,700.0,1e-05,2.6e-05,0.00837,-2.796,22.84,0.0126
3e-12,0.006,700.0,1e-05,2.8e-05,0.00836,-3.279,22.99,0.0129
3e-12,0.006,700.0,1.1e-05,2e-05,0.00843,-1.573,22.02,0.0118
3e-12,0.006,700.0,1.1e-05,1e-05,0.00846,-2.736,19.97,0.00845
3e-12,0.006,700.0,1.1e-05,1.2e-05,0.00846,-2.02,20.52,0.00929
3e-12,0.006,700.0,1.1e-05,1.4e-05,0.00845,-1.605,20.98,0.01
3e-12,0.006,700.0,1.1e-05,1.6e-05,0.00845,-1.422,21.38,0.0106
3e-12,0.006,700.0,1.1e-05,1.8e-05,0.00844,-1.424,21.73,0.0112
3e-12,0.006,700.0,1.1e-05,2.2e-05,0.00842,-1.838,22.27,0.0122
3e-12,0.006,700.0,1.1e-05,2.4e-05,0.00841,-2.192,22.47,0.0126
3e-12,0.006,700.0,1.1e-05,2.6e-05,0.00839,-2.614,22.64,0.013
3e-12,0.006,700.0,1.1e-05,2.8e-05,0.00838,-3.086,22.78,0.0133
3e-12,0.006,700.0,1.1e-05,3e-05,0.00837,-3.596,22.89,0.0135
3e-12,0.006,700.0,1.2e-05,2e-05,0.00844,-1.438,21.91,0.0121
3e-12,0.006,700.0,1.2e-05,1e-05,0.00847,-2.778,19.91,0.00866
3e-12,0.006,700.0,1.2e-05,1.2e-05,0.00847,-2.0,20.45,0.00947
3e-12,0.006,700.0,1.2e-05,1.4e-05,0.00847,-1.536,20.9,0.0104
3e-12,0.006,700.0,1.2e-05,1.6e-05,0.00846,-1.321,21.29,0.011
3e-12,0.006,700.0,1.2e-05,1.8e-05,0.00845,-1.302,21.63,0.0117
3e-12,0.006,700.0,1.2e-05,2.2e-05,0.00843,-1.693,22.14,0.0126
3e-12,0.006,700.0,1.2e-05,2.4e-05,0.00842,-2.041,22.33,0.013
3e-12,0.006,700.0,1.2e-05,2.6e-05,0.00841,-2.458,22.49,0.0133
3e-12,0.006,700.0,1.2e-05,2.8e-05,0.0084,-2.928,22.62,0.0136
3e-12,0.006,700.0,1.2e-05,3e-05,0.00839,-3.436,22.71,0.014
3e-12,0.006,700.0,1.3e-05,2e-05,0.00845,-1.33,21.82,0.0124
3e-12,0.006,700.0,1.3e-05,1e-05,0.00848,-2.723,19.87,0.00904
3e-12,0.006,700.0,1.3e-05,1.2e-05,0.00848,-1.918,20.39,0.00981
3e-12,0.006,700.0,1.3e-05,1.4e-05,0.00847,-1.44,20.84,0.0105
3e-12,0.006,700.0,1.3e-05,1.6e-05,0.00847,-1.218,21.22,0.0115
3e-12,0.006,700.0,1.3e-05,1.8e-05,0.00846,-1.196,21.54,0.0117
3e-12,0.006,700.0,1.3e-05,2.2e-05,0.00844,-1.586,22.04,0.0129
3e-12,0.006,700.0,1.3e-05,2.4e-05,0.00843,-1.934,22.23,0.0134
3e-12,0.006,700.0,1.3e-05,2.6e-05,0.00842,-2.353,22.38,0.0136
3e-12,0.006,700.0,1.3e-05,2.8e-05,0.00841,-2.824,22.49,0.0141
3e-12,0.006,700.0,1.3e-05,3e-05,0.0084,-3.332,22.58,0.0143
3e-12,0.006,700.0,1.4e-05,2e-05,0.00846,-1.28,21.75,0.0126
3e-12,0.006,700.0,1.4e-05,1e-05,0.00848,-2.65,19.86,0.00916
3e-12,0.006,700.0,1.4e-05,1.2e-05,0.00848,-1.845,20.37,0.01
3e-12,0.006,700.0,1.4e-05,1.4e-05,0.00848,-1.373,20.81,0.0108
3e-12,0.006,700.0,1.4e-05,1.6e-05,0.00848,-1.157,21.17,0.0118
3e-12,0.006,700.0,1.4e-05,1.8e-05,0.00847,-1.141,21.49,0.0122
3e-12,0.006,700.0,1.4e-05,2.2e-05,0.00845,-1.54,21.97,0.0132
3e-12,0.006,700.0,1.4e-05,2.4e-05,0.00845,-1.891,22.15,0.0136
3e-12,0.006,700.0,1.4e-05,2.6e-05,0.00844,-2.312,22.29,0.014
3e-12,0.006,700.0,1.4e-05,2.8e-05,0.00843,-2.785,22.4,0.0144
3e-12,0.006,700.0,1.4e-05,3e-05,0.00842,-3.295,22.48,0.0146
3e-12,0.006,700.0,1.6e-05,2e-05,0.00848,-1.394,21.76,0.0133
3e-12,0.006,700.0,1.6e-05,1e-05,0.00849,-2.642,19.95,0.00957
