C,R,WN,ConversionGain,NoiseFigure,VoltageSwing
1.5e-11,5000.0,1e-05,-10.32,8.536,0.0024
1.5e-11,5000.0,5e-06,-11.55,8.997,0.00155
1.5e-11,5000.0,5.5e-06,-11.24,8.848,0.00164
1.5e-11,5000.0,6e-06,-10.98,8.718,0.00174
1.5e-11,5000.0,6.5e-06,-10.77,8.611,0.00183
1.5e-11,5000.0,7e-06,-10.63,8.55,0.00192
1.5e-11,5000.0,7.5e-06,-10.52,8.508,0.002
1.5e-11,5000.0,8e-06,-10.47,8.508,0.00208
1.5e-11,5000.0,8.5e-06,-10.45,8.524,0.00217
1.5e-11,5000.0,9e-06,-10.42,8.542,0.00224
1.5e-11,5000.0,9.5e-06,-10.4,8.55,0.00232
1.5e-11,5000.0,1.05e-05,-10.15,8.476,0.00247
1.5e-11,5000.0,1.1e-05,-9.94,8.378,0.00254
1.5e-11,5000.0,1.15e-05,-9.78,8.242,0.00261
1.5e-11,5000.0,1.2e-05,-9.63,8.093,0.00268
1.5e-11,5000.0,1.25e-05,-9.54,7.976,0.00275
1.5e-11,5000.0,1.3e-05,-9.52,7.949,0.00281
1.5e-11,5000.0,1.35e-05,-9.52,7.948,0.00287
1.5e-11,5000.0,1.4e-05,-9.51,7.935,0.00293
1.5e-11,5000.0,1.45e-05,-9.48,7.896,0.00299
1.5e-11,5000.0,1.5e-05,-9.41,7.831,0.00305
1.5e-11,5000.0,1.55e-05,-9.33,7.744,0.0031
1.5e-11,5000.0,1.6e-05,-9.21,7.649,0.00316
1.5e-11,5000.0,1.65e-05,-9.06,7.549,0.00321
1.5e-11,5000.0,1.7e-05,-8.85,7.434,0.00326
1.5e-11,5000.0,1.75e-05,-8.61,7.291,0.0033
1.5e-11,5000.0,1.8e-05,-8.44,7.169,0.00335
1.5e-11,5000.0,1.85e-05,-8.32,7.034,0.00339
1.5e-11,5000.0,1.9e-05,-8.23,6.901,0.00343
1.5e-11,5000.0,1.95e-05,-8.14,6.79,0.00347
1.5e-11,5000.0,2e-05,-8.06,6.697,0.00351
1.5e-11,5000.0,2.05e-05,-7.97,6.613,0.00355
1.5e-11,5000.0,2.1e-05,-7.89,6.535,0.00358
1.5e-11,5000.0,2.15e-05,-7.8,6.461,0.00361
1.5e-11,5000.0,2.2e-05,-7.71,6.388,0.00364
1.5e-11,5000.0,2.25e-05,-7.62,6.319,0.00367
1.5e-11,5000.0,2.3e-05,-7.54,6.253,0.00369
1.5e-11,5000.0,2.35e-05,-7.45,6.192,0.00372
1.5e-11,5000.0,2.4e-05,-7.37,6.135,0.00374
1.5e-11,5000.0,2.45e-05,-7.29,6.07,0.00375
1.5e-11,5000.0,2.5e-05,-7.21,6.024,0.00377
1.5e-11,5000.0,2.55e-05,-7.13,5.986,0.00378
1.5e-11,5000.0,2.6e-05,-7.06,5.954,0.00379
1.5e-11,5000.0,2.65e-05,-6.99,5.929,0.0038
1.5e-11,5000.0,2.7e-05,-6.92,5.912,0.00381
1.5e-11,5000.0,2.75e-05,-6.86,5.905,0.00381
1.5e-11,5000.0,2.8e-05,-6.8,5.906,0.00381
1.5e-11,5000.0,2.85e-05,-6.76,5.913,0.00381
1.5e-11,5000.0,2.9e-05,-6.72,5.924,0.00381
1.5e-11,5000.0,2.95e-05,-6.7,5.936,0.00381
1.5e-11,1000.0,1e-05,-10.63,9.074,0.00236
1.5e-11,1000.0,5e-06,-11.88,9.808,0.00151
1.5e-11,1000.0,5.5e-06,-11.57,9.61,0.00161
1.5e-11,1000.0,6e-06,-11.31,9.438,0.0017
1.5e-11,1000.0,6.5e-06,-11.1,9.297,0.00179
1.5e-11,1000.0,7e-06,-10.95,9.208,0.00188
1.5e-11,1000.0,7.5e-06,-10.85,9.14,0.00197
1.5e-11,1000.0,8e-06,-10.79,9.118,0.00205
1.5e-11,1000.0,8.5e-06,-10.76,9.113,0.00213
1.5e-11,1000.0,9e-06,-10.74,9.113,0.00221
1.5e-11,1000.0,9.5e-06,-10.71,9.105,0.00229
1.5e-11,1000.0,1.05e-05,-10.46,8.998,0.00243
1.5e-11,1000.0,1.1e-05,-10.25,8.885,0.00251
1.5e-11,1000.0,1.15e-05,-10.08,8.741,0.00258
1.5e-11,1000.0,1.2e-05,-9.94,8.585,0.00264
1.5e-11,1000.0,1.25e-05,-9.84,8.462,0.00271
1.5e-11,1000.0,1.3e-05,-9.82,8.427,0.00278
1.5e-11,1000.0,1.35e-05,-9.82,8.417,0.00284
1.5e-11,1000.0,1.4e-05,-9.81,8.396,0.0029
1.5e-11,1000.0,1.45e-05,-9.77,8.35,0.00295
1.5e-11,1000.0,1.5e-05,-9.7,8.28,0.00301
1.5e-11,1000.0,1.55e-05,-9.62,8.189,0.00307
1.5e-11,1000.0,1.6e-05,-9.51,8.089,0.00312
1.5e-11,1000.0,1.65e-05,-9.35,7.984,0.00317
1.5e-11,1000.0,1.7e-05,-9.14,7.864,0.00322
1.5e-11,1000.0,1.75e-05,-8.91,7.716,0.00326
1.5e-11,1000.0,1.8e-05,-8.73,7.592,0.00331
1.5e-11,1000.0,1.85e-05,-8.61,7.457,0.00335
1.5e-11,1000.0,1.9e-05,-8.52,7.326,0.00339
1.5e-11,1000.0,1.95e-05,-8.43,7.214,0.00343
1.5e-11,1000.0,2e-05,-8.35,7.119,0.00347
1.5e-11,1000.0,2.05e-05,-8.26,7.033,0.0035
1.5e-11,1000.0,2.1e-05,-8.18,6.953,0.00354
1.5e-11,1000.0,2.15e-05,-8.09,6.876,0.00357
1.5e-11,1000.0,2.2e-05,-8.0,6.802,0.0036
1.5e-11,1000.0,2.25e-05,-7.91,6.731,0.00362
1.5e-11,1000.0,2.3e-05,-7.83,6.665,0.00365
1.5e-11,1000.0,2.35e-05,-7.74,6.603,0.00367
1.5e-11,1000.0,2.4e-05,-7.66,6.545,0.00369
1.5e-11,1000.0,2.45e-05,-7.58,6.48,0.00371
1.5e-11,1000.0,2.5e-05,-7.5,6.433,0.00372
1.5e-11,1000.0,2.55e-05,-7.42,6.394,0.00373
1.5e-11,1000.0,2.6e-05,-7.35,6.361,0.00374
1.5e-11,1000.0,2.65e-05,-7.28,6.334,0.00375
1.5e-11,1000.0,2.7e-05,-7.21,6.315,0.00376
1.5e-11,1000.0,2.75e-05,-7.15,6.304,0.00376
1.5e-11,1000.0,2.8e-05,-7.1,6.302,0.00376
1.5e-11,1000.0,2.85e-05,-7.05,6.306,0.00376
1.5e-11,1000.0,2.9e-05,-7.02,6.313,0.00376
1.5e-11,1000.0,2.95e-05,-7.0,6.322,0.00376
1.5e-11,2000.0,1e-05,-10.44,8.745,0.00238
1.5e-11,2000.0,5e-06,-11.68,9.319,0.00153
1.5e-11,2000.0,5.5e-06,-11.36,9.149,0.00163
1.5e-11,2000.0,6e-06,-11.1,9.002,0.00172
1.5e-11,2000.0,6.5e-06,-10.89,8.881,0.00181
1.5e-11,2000.0,7e-06,-10.75,8.809,0.0019
1.5e-11,2000.0,7.5e-06,-10.65,8.756,0.00199
1.5e-11,2000.0,8e-06,-10.59,8.747,0.00207
1.5e-11,2000.0,8.5e-06,-10.57,8.755,0.00215
1.5e-11,2000.0,9e-06,-10.54,8.765,0.00223
1.5e-11,2000.0,9.5e-06,-10.52,8.767,0.00231
1.5e-11,2000.0,1.05e-05,-10.26,8.679,0.00246
1.5e-11,2000.0,1.1e-05,-10.06,8.575,0.00253
1.5e-11,2000.0,1.15e-05,-9.89,8.436,0.0026
1.5e-11,2000.0,1.2e-05,-9.75,8.284,0.00267
1.5e-11,2000.0,1.25e-05,-9.65,8.165,0.00273
1.5e-11,2000.0,1.3e-05,-9.63,8.134,0.0028
1.5e-11,2000.0,1.35e-05,-9.64,8.13,0.00286
1.5e-11,2000.0,1.4e-05,-9.63,8.114,0.00292
1.5e-11,2000.0,1.45e-05,-9.59,8.072,0.00298
1.5e-11,2000.0,1.5e-05,-9.52,8.005,0.00303
1.5e-11,2000.0,1.55e-05,-9.44,7.916,0.00309
1.5e-11,2000.0,1.6e-05,-9.32,7.819,0.00314
1.5e-11,2000.0,1.65e-05,-9.17,7.717,0.00319
1.5e-11,2000.0,1.7e-05,-8.96,7.6,0.00324
1.5e-11,2000.0,1.75e-05,-8.72,7.455,0.00329
1.5e-11,2000.0,1.8e-05,-8.55,7.333,0.00333
1.5e-11,2000.0,1.85e-05,-8.43,7.197,0.00338
1.5e-11,2000.0,1.9e-05,-8.34,7.065,0.00342
1.5e-11,2000.0,1.95e-05,-8.25,6.954,0.00346
1.5e-11,2000.0,2e-05,-8.17,6.86,0.00349
1.5e-11,2000.0,2.05e-05,-8.08,6.775,0.00353
1.5e-11,2000.0,2.1e-05,-8.0,6.696,0.00356
1.5e-11,2000.0,2.15e-05,-7.91,6.621,0.0036
1.5e-11,2000.0,2.2e-05,-7.82,6.548,0.00362
1.5e-11,2000.0,2.25e-05,-7.73,6.478,0.00365
1.5e-11,2000.0,2.3e-05,-7.65,6.412,0.00368
1.5e-11,2000.0,2.35e-05,-7.56,6.351,0.0037
1.5e-11,2000.0,2.4e-05,-7.48,6.293,0.00372
1.5e-11,2000.0,2.45e-05,-7.4,6.228,0.00374
1.5e-11,2000.0,2.5e-05,-7.32,6.182,0.00375
1.5e-11,2000.0,2.55e-05,-7.24,6.143,0.00376
1.5e-11,2000.0,2.6e-05,-7.17,6.111,0.00377
1.5e-11,2000.0,2.65e-05,-7.1,6.085,0.00378
1.5e-11,2000.0,2.7e-05,-7.03,6.068,0.00379
1.5e-11,2000.0,2.75e-05,-6.97,6.059,0.00379
1.5e-11,2000.0,2.8e-05,-6.91,6.058,0.00379
1.5e-11,2000.0,2.85e-05,-6.87,6.065,0.00379
1.5e-11,2000.0,2.9e-05,-6.83,6.074,0.00379
1.5e-11,2000.0,2.95e-05,-6.81,6.085,0.00379
1.5e-11,3000.0,1e-05,-10.37,8.63,0.00239
1.5e-11,3000.0,5e-06,-11.6,9.143,0.00154
1.5e-11,3000.0,5.5e-06,-11.29,8.985,0.00164
