Lm,Lm2,Cm2,R1,W1,W2,DCPowerConsumption,S11,S22,PowerGain,DrainEfficiency,PAE,PSAT
1.2e-09,1e-12,5.5e-14,3000.0,1.5e-05,5e-06,0.00534,-12.35,-9.817,5.512,15.78,4.58,4.523
1.2e-09,1e-12,5.5e-14,3000.0,1.5e-05,3e-06,0.00534,-8.328,-11.22,5.467,15.88,4.549,4.628
1.2e-09,1e-12,5.5e-14,3000.0,1.5e-05,4e-06,0.00534,-10.05,-10.52,5.494,15.88,4.576,4.569
1.2e-09,1e-12,5.5e-14,3000.0,1e-05,5e-06,0.00446,-3.984,-29.81,4.532,15.02,2.958,3.788
1.2e-09,1e-12,5.5e-14,3000.0,1e-05,3e-06,0.00446,-2.963,-22.65,4.529,15.3,2.965,3.729
1.2e-09,1e-12,5.5e-14,3000.0,1e-05,4e-06,0.00446,-3.417,-25.35,4.538,15.31,2.978,3.768
1.2e-09,1e-12,5.5e-14,3000.0,1.1e-05,5e-06,0.00467,-4.867,-25.9,4.901,15.34,3.423,4.009
1.2e-09,1e-12,5.5e-14,3000.0,1.1e-05,3e-06,0.00467,-3.571,-27.6,4.887,15.59,3.409,4.04
1.2e-09,1e-12,5.5e-14,3000.0,1.1e-05,4e-06,0.00467,-4.146,-27.9,4.901,15.29,3.432,4.031
1.2e-09,1e-12,5.5e-14,3000.0,1.2e-05,5e-06,0.00486,-6.017,-18.05,5.172,15.69,3.824,4.173
1.2e-09,1e-12,5.5e-14,3000.0,1.2e-05,3e-06,0.00486,-4.351,-20.74,5.149,15.53,3.795,4.251
1.2e-09,1e-12,5.5e-14,3000.0,1.2e-05,4e-06,0.00486,-5.088,-19.47,5.166,15.51,3.823,4.208
1.2e-09,1e-12,5.5e-14,3000.0,1.3e-05,5e-06,0.00503,-7.529,-14.13,5.357,15.84,4.149,4.306
1.2e-09,1e-12,5.5e-14,3000.0,1.3e-05,3e-06,0.00503,-5.354,-16.17,5.325,15.6,4.115,4.4
