Cshunt,Ls2,W,Cs,Lp,DCPowerConsumption,S11,S22,PowerGain,DrainEfficiency,PAE,PSAT
1e-13,1.2e-10,2e-05,6e-13,2e-10,0.03106,-11.76,-12.22,8.779,45.91,31.18,10.51
1e-13,1.2e-10,2e-05,6e-13,1e-10,0.03106,-6.694,-4.298,7.731,24.95,15.23,9.095
1e-13,1.2e-10,2e-05,6e-13,1.2e-10,0.03106,-7.464,-7.077,8.624,33.25,21.88,9.824
1e-13,1.2e-10,2e-05,6e-13,1.4e-10,0.03106,-8.486,-10.39,8.972,39.64,26.81,10.23
1e-13,1.2e-10,2e-05,6e-13,1.6e-10,0.03106,-9.61,-13.16,9.023,43.64,29.78,10.42
1e-13,1.2e-10,2e-05,6e-13,1.8e-10,0.03106,-10.72,-13.56,8.931,45.53,31.07,10.5
1e-13,1.2e-10,2e-05,6e-13,2.2e-10,0.03106,-12.69,-10.72,8.607,45.37,30.59,10.55
1e-13,1.2e-10,2e-05,6e-13,2.4e-10,0.03106,-13.51,-9.506,8.435,44.39,29.68,10.56
1e-13,1.2e-10,2e-05,6e-13,2.6e-10,0.03106,-14.2,-8.565,8.272,43.27,28.67,10.56
1e-13,1.2e-10,2e-05,6e-13,2.8e-10,0.03106,-14.79,-7.835,8.12,42.76,27.68,10.55
1e-13,1.5e-10,1.6e-05,6.4e-13,1e-10,0.02484,-2.805,-2.124,9.604,19.64,13.8,7.595
1e-13,1.5e-10,1.6e-05,6.4e-13,1.2e-10,0.02484,-3.094,-3.477,10.84,26.94,20.58,8.58
1e-13,1.5e-10,1.6e-05,6.4e-13,1.4e-10,0.02484,-3.629,-5.075,11.36,33.29,26.45,9.135
1e-13,1.5e-10,1.6e-05,6.4e-13,1.6e-10,0.02484,-4.332,-6.601,11.45,38.33,30.83,9.459
1e-13,1.5e-10,1.6e-05,6.4e-13,1.8e-10,0.02484,-5.101,-7.651,11.32,42.0,33.6,9.65
1e-13,1.5e-10,1.6e-05,6.4e-13,2.2e-10,0.02484,-6.547,-7.852,10.86,45.85,35.39,9.815
1e-13,1.5e-10,1.6e-05,6.4e-13,2.4e-10,0.02484,-7.149,-7.426,10.62,46.52,35.14,9.837
1e-13,1.5e-10,1.6e-05,6.4e-13,2.6e-10,0.02484,-7.657,-6.935,10.39,46.67,34.54,9.836
1e-13,1.5e-10,1.6e-05,6.4e-13,2.8e-10,0.02484,-8.077,-6.467,10.19,46.46,33.78,9.822
1e-13,1.5e-10,1.6e-05,6.4e-13,3e-10,0.02484,-8.419,-6.049,9.999,46.04,32.96,9.798
1e-13,1.5e-10,1.6e-05,6.6e-13,2e-10,0.02484,-5.837,-8.05,11.11,44.38,34.99,9.752
1e-13,1.5e-10,1.6e-05,6.6e-13,1e-10,0.02484,-2.799,-2.113,9.595,19.56,13.74,7.581
1e-13,1.5e-10,1.6e-05,6.6e-13,1.2e-10,0.02484,-3.083,-3.463,10.84,26.85,20.5,8.568
1e-13,1.5e-10,1.6e-05,6.6e-13,1.4e-10,0.02484,-3.614,-5.061,11.37,33.2,26.38,9.124
1e-13,1.5e-10,1.6e-05,6.6e-13,1.6e-10,0.02484,-4.313,-6.597,11.46,38.25,30.78,9.45
1e-13,1.5e-10,1.6e-05,6.6e-13,1.8e-10,0.02484,-5.081,-7.665,11.33,41.93,33.57,9.642
1e-13,1.5e-10,1.6e-05,6.6e-13,2.2e-10,0.02484,-6.53,-7.891,10.87,45.83,35.4,9.81
1e-13,1.5e-10,1.6e-05,6.6e-13,2.4e-10,0.02484,-7.135,-7.467,10.63,46.52,35.16,9.833
1e-13,1.5e-10,1.6e-05,6.6e-13,2.6e-10,0.02484,-7.647,-6.974,10.4,46.68,34.57,9.833
1e-13,1.5e-10,1.6e-05,6.6e-13,2.8e-10,0.02484,-8.07,-6.502,10.2,46.49,33.81,9.818
1e-13,1.5e-10,1.6e-05,6.6e-13,3e-10,0.02484,-8.415,-6.081,10.01,46.07,33.0,9.795
1e-13,1.5e-10,1.6e-05,6.8e-13,2e-10,0.02484,-5.82,-8.079,11.13,44.34,34.98,9.747
1e-13,1.5e-10,1.6e-05,6.8e-13,1e-10,0.02484,-2.793,-2.104,9.586,19.49,13.68,7.567
1e-13,1.5e-10,1.6e-05,6.8e-13,1.2e-10,0.02484,-3.073,-3.449,10.84,26.76,20.43,8.556
1e-13,1.5e-10,1.6e-05,6.8e-13,1.4e-10,0.02484,-3.6,-5.048,11.37,33.11,26.31,9.115
1e-13,1.5e-10,1.6e-05,6.8e-13,1.6e-10,0.02484,-4.296,-6.592,11.47,38.17,30.73,9.442
1e-13,1.5e-10,1.6e-05,6.8e-13,1.8e-10,0.02484,-5.063,-7.677,11.34,41.87,33.54,9.635
1e-13,1.5e-10,1.6e-05,6.8e-13,2.2e-10,0.02484,-6.514,-7.929,10.88,45.81,35.41,9.805
1e-13,1.5e-10,1.6e-05,6.8e-13,2.4e-10,0.02484,-7.122,-7.506,10.64,46.52,35.18,9.828
1e-13,1.5e-10,1.6e-05,6.8e-13,2.6e-10,0.02484,-7.637,-7.011,10.41,46.69,34.6,9.829
1e-13,1.5e-10,1.6e-05,6.8e-13,2.8e-10,0.02484,-8.063,-6.536,10.21,46.51,33.84,9.815
1e-13,1.5e-10,1.6e-05,6.8e-13,3e-10,0.02484,-8.411,-6.112,10.02,46.1,33.03,9.792
1e-13,1.5e-10,1.6e-05,7e-13,2e-10,0.02484,-5.803,-8.106,11.14,44.31,34.97,9.741
1e-13,1.5e-10,1.6e-05,7e-13,1e-10,0.02484,-2.788,-2.095,9.577,19.42,13.62,7.554
1e-13,1.5e-10,1.6e-05,7e-13,1.2e-10,0.02484,-3.063,-3.437,10.84,26.68,20.36,8.546
1e-13,1.5e-10,1.6e-05,7e-13,1.4e-10,0.02484,-3.587,-5.035,11.38,33.03,26.24,9.106
1e-13,1.5e-10,1.6e-05,7e-13,1.6e-10,0.02484,-4.28,-6.588,11.48,38.1,30.68,9.434
1e-13,1.5e-10,1.6e-05,7e-13,1.8e-10,0.02484,-5.046,-7.689,11.35,41.82,33.52,9.629
1e-13,1.5e-10,1.6e-05,7e-13,2.2e-10,0.02484,-6.499,-7.964,10.89,45.79,35.42,9.8
1e-13,1.5e-10,1.6e-05,7e-13,2.4e-10,0.02484,-7.109,-7.543,10.65,46.52,35.2,9.824
1e-13,1.5e-10,1.6e-05,7e-13,2.6e-10,0.02484,-7.627,-7.046,10.43,46.71,34.62,9.826
1e-13,1.5e-10,1.6e-05,7e-13,2.8e-10,0.02484,-8.057,-6.567,10.22,46.53,33.87,9.813
1e-13,1.5e-10,1.6e-05,7e-13,3e-10,0.02484,-8.408,-6.14,10.03,46.13,33.06,9.79
1e-13,1.5e-10,1.7e-05,6e-13,2e-10,0.0264,-7.179,-9.438,10.48,45.47,33.7,9.987
1e-13,1.5e-10,1.7e-05,6e-13,1e-10,0.0264,-3.628,-2.568,9.005,20.73,14.12,7.988
1e-13,1.5e-10,1.7e-05,6e-13,1.2e-10,0.0264,-4.02,-4.219,10.17,28.28,20.81,8.915
1e-13,1.5e-10,1.7e-05,6e-13,1.4e-10,0.0264,-4.673,-6.178,10.66,34.78,26.43,9.433
1e-13,1.5e-10,1.7e-05,6e-13,1.6e-10,0.0264,-5.484,-8.037,10.77,39.81,30.44,9.729
1e-13,1.5e-10,1.7e-05,6e-13,1.8e-10,0.0264,-6.347,-9.215,10.67,43.31,32.77,9.898
1e-13,1.5e-10,1.7e-05,6e-13,2.2e-10,0.0264,-7.934,-9.008,10.26,46.59,33.67,10.03
1e-13,1.5e-10,1.7e-05,6e-13,2.4e-10,0.0264,-8.59,-8.35,10.05,46.95,33.11,10.03
1e-13,1.5e-10,1.7e-05,6e-13,2.6e-10,0.0264,-9.145,-7.69,9.849,46.8,32.34,10.02
1e-13,1.5e-10,1.7e-05,6e-13,2.8e-10,0.0264,-9.603,-7.106,9.662,46.35,31.82,9.996
1e-13,1.5e-10,1.7e-05,6e-13,3e-10,0.0264,-9.977,-6.609,9.491,45.72,31.18,9.963
1e-13,1.5e-10,1.7e-05,5e-13,2e-10,0.0264,-7.326,-9.141,10.41,45.69,33.73,10.03
1e-13,1.5e-10,1.7e-05,5e-13,1e-10,0.0264,-3.679,-2.658,9.076,21.32,14.6,8.088
1e-13,1.5e-10,1.7e-05,5e-13,1.2e-10,0.0264,-4.107,-4.346,10.19,28.96,21.36,8.997
1e-13,1.5e-10,1.7e-05,5e-13,1.4e-10,0.0264,-4.793,-6.3,10.64,35.44,26.93,9.501
1e-13,1.5e-10,1.7e-05,5e-13,1.6e-10,0.0264,-5.627,-8.061,10.72,40.36,30.81,9.786
1e-13,1.5e-10,1.7e-05,5e-13,1.8e-10,0.0264,-6.498,-9.061,10.6,43.7,32.96,9.944
1e-13,1.5e-10,1.7e-05,5e-13,2.2e-10,0.0264,-8.066,-8.665,10.19,46.64,33.59,10.06
1e-13,1.5e-10,1.7e-05,5e-13,2.4e-10,0.0264,-8.7,-8.018,9.976,46.87,32.98,10.06
1e-13,1.5e-10,1.7e-05,5e-13,2.6e-10,0.0264,-9.23,-7.39,9.774,46.63,32.28,10.04
1e-13,1.5e-10,1.7e-05,5e-13,2.8e-10,0.0264,-9.663,-6.838,9.588,46.1,31.7,10.01
1e-13,1.5e-10,1.7e-05,5e-13,3e-10,0.0264,-10.01,-6.371,9.418,45.43,31.03,9.978
1e-13,1.5e-10,1.7e-05,5.2e-13,2e-10,0.0264,-7.292,-9.209,10.42,45.64,33.72,10.02
1e-13,1.5e-10,1.7e-05,5.2e-13,1e-10,0.0264,-3.667,-2.637,9.06,21.18,14.49,8.065
1e-13,1.5e-10,1.7e-05,5.2e-13,1.2e-10,0.0264,-4.087,-4.317,10.18,28.8,21.23,8.978
1e-13,1.5e-10,1.7e-05,5.2e-13,1.4e-10,0.0264,-4.765,-6.272,10.65,35.29,26.82,9.485
1e-13,1.5e-10,1.7e-05,5.2e-13,1.6e-10,0.0264,-5.594,-8.056,10.73,40.24,30.73,9.773
