Rd,VDD,Vgate,Wn,Bandwidth,DCPowerConsumption,VoltageGain
1100.0,1.2,0.8,7.5e-06,330000000.0,0.00109,9.302
1100.0,1.2,0.8,3e-06,246000000.0,0.000574,8.048
1100.0,1.2,0.8,3.5e-06,249000000.0,0.000649,9.004
1100.0,1.2,0.8,4e-06,252000000.0,0.000719,9.78
1100.0,1.2,0.8,4.5e-06,255000000.0,0.000784,10.41
1100.0,1.2,0.8,5e-06,258000000.0,0.000846,10.91
1100.0,1.2,0.8,5.5e-06,263000000.0,0.000904,11.27
1100.0,1.2,0.8,6e-06,268000000.0,0.000958,11.44
1100.0,1.2,0.8,6.5e-06,278000000.0,0.00101,11.31
1100.0,1.2,0.8,7e-06,295000000.0,0.00105,10.67
1100.0,1.2,0.8,8e-06,392000000.0,0.00112,7.314
1100.0,1.2,0.8,8.5e-06,488000000.0,0.00114,5.17
1100.0,1.2,0.8,9e-06,616000000.0,0.00115,3.197
1100.0,1.2,0.8,9.5e-06,752000000.0,0.00117,1.49
1100.0,1.2,0.8,1e-05,867000000.0,0.00118,0.0347
1100.0,1.2,0.6,7.5e-06,245000000.0,0.000257,8.776
1100.0,1.2,0.6,3e-06,236000000.0,0.000117,2.593
1100.0,1.2,0.6,3.5e-06,237000000.0,0.000134,3.713
1100.0,1.2,0.6,4e-06,238000000.0,0.000151,4.66
1100.0,1.2,0.6,4.5e-06,239000000.0,0.000167,5.475
1100.0,1.2,0.6,5e-06,240000000.0,0.000183,6.189
1100.0,1.2,0.6,5.5e-06,241000000.0,0.000198,6.82
1100.0,1.2,0.6,6e-06,242000000.0,0.000214,7.384
1100.0,1.2,0.6,6.5e-06,243000000.0,0.000228,7.893
1100.0,1.2,0.6,7e-06,244000000.0,0.000243,8.355
1100.0,1.2,0.6,8e-06,246000000.0,0.00027,9.163
1100.0,1.2,0.6,8.5e-06,247000000.0,0.000284,9.52
1100.0,1.2,0.6,9e-06,248000000.0,0.000297,9.851
1100.0,1.2,0.6,9.5e-06,248000000.0,0.000309,10.16
1100.0,1.2,0.6,1e-05,249000000.0,0.000322,10.44
