Rd,Wbias,Wn1,Wn2,Bandwidth,DCPowerConsumption,VoltageGain
2000,1.35e-05,5e-06,4e-06,393300000,0.0005447,7.516
2000,1.35e-05,5e-06,1.53e-06,379700000,0.0004107,1.114
2000,1.35e-05,5e-06,2.06e-06,380900000,0.0004661,4.618
2000,1.35e-05,5e-06,2.59e-06,383400000,0.0005015,6.456
2000,1.35e-05,5e-06,3.12e-06,387300000,0.0005237,7.163
2000,1.35e-05,5e-06,3.65e-06,391200000,0.0005379,7.412
2000,1.35e-05,5e-06,4.18e-06,394200000,0.0005475,7.563
2000,1.35e-05,5e-06,4.71e-06,396400000,0.0005544,7.694
2000,1.35e-05,5e-06,5.24e-06,397900000,0.0005596,7.813
2000,1.35e-05,5e-06,5.77e-06,399000000,0.0005636,7.919
2000,1.35e-05,5e-06,6.29e-06,399800000,0.0005668,8.013
2000,1.35e-05,5e-06,6.82e-06,400400000,0.0005695,8.095
2000,1.35e-05,5e-06,7.35e-06,400900000,0.0005717,8.167
2000,1.35e-05,5e-06,7.88e-06,401200000,0.0005736,8.229
2000,1.35e-05,5e-06,8.41e-06,401500000,0.0005752,8.285
2000,1.35e-05,5e-06,8.94e-06,401700000,0.0005766,8.334
2000,1.35e-05,5e-06,9.47e-06,401900000,0.0005779,8.378
2000,1.35e-05,5e-06,1e-05,402000000,0.000579,8.417
2000,1.35e-05,1e-06,4e-06,375400000,0.0001502,3.872
2000,1.35e-05,1e-06,1e-06,375600000,0.0001387,2.358
2000,1.35e-05,1e-06,1.53e-06,375500000,0.0001437,3.209
2000,1.35e-05,1e-06,2.06e-06,375500000,0.0001462,3.51
2000,1.35e-05,1e-06,2.59e-06,375400000,0.0001477,3.667
2000,1.35e-05,1e-06,3.12e-06,375400000,0.0001489,3.766
2000,1.35e-05,1e-06,3.65e-06,375400000,0.0001499,3.835
2000,1.35e-05,1e-06,4.18e-06,375400000,0.0001505,3.888
2000,1.35e-05,1e-06,4.71e-06,375300000,0.0001511,3.928
2000,1.35e-05,1e-06,5.24e-06,375300000,0.0001516,3.962
2000,1.35e-05,1e-06,5.77e-06,375300000,0.000152,3.989
2000,1.35e-05,1e-06,6.29e-06,375300000,0.0001524,4.013
2000,1.35e-05,1e-06,6.82e-06,375300000,0.0001528,4.034
2000,1.35e-05,1e-06,7.35e-06,375200000,0.0001531,4.052
2000,1.35e-05,1e-06,7.88e-06,375200000,0.0001534,4.068
2000,1.35e-05,1e-06,8.41e-06,375200000,0.0001537,4.082
2000,1.35e-05,1e-06,8.94e-06,375200000,0.000154,4.095
2000,1.35e-05,1e-06,9.47e-06,375200000,0.0001542,4.107
2000,1.35e-05,1e-06,1e-05,375100000,0.0001544,4.117
2000,1.35e-05,1.53e-06,4e-06,375500000,0.0002209,7.058
2000,1.35e-05,1.53e-06,1e-06,376100000,0.000194,3.321
2000,1.35e-05,1.53e-06,1.53e-06,375800000,0.0002073,5.655
2000,1.35e-05,1.53e-06,2.06e-06,375700000,0.000213,6.369
2000,1.35e-05,1.53e-06,2.59e-06,375600000,0.0002161,6.693
2000,1.35e-05,1.53e-06,3.12e-06,375600000,0.0002183,6.878
2000,1.35e-05,1.53e-06,3.65e-06,375500000,0.00022,6.998
2000,1.35e-05,1.53e-06,4.18e-06,375500000,0.0002213,7.084
2000,1.35e-05,1.53e-06,4.71e-06,375500000,0.0002224,7.149
2000,1.35e-05,1.53e-06,5.24e-06,375400000,0.0002234,7.2
2000,1.35e-05,1.53e-06,5.77e-06,375400000,0.0002242,7.242
2000,1.35e-05,1.53e-06,6.29e-06,375400000,0.0002248,7.277
2000,1.35e-05,1.53e-06,6.82e-06,375400000,0.0002254,7.306
2000,1.35e-05,1.53e-06,7.35e-06,375300000,0.0002259,7.332
2000,1.35e-05,1.53e-06,7.88e-06,375300000,0.0002264,7.354
2000,1.35e-05,1.53e-06,8.41e-06,375300000,0.0002269,7.374
2000,1.35e-05,1.53e-06,8.94e-06,375300000,0.0002273,7.391
2000,1.35e-05,1.53e-06,9.47e-06,375300000,0.0002277,7.407
2000,1.35e-05,1.53e-06,1e-05,375200000,0.000228,7.422
2000,1.35e-05,2.06e-06,4e-06,375700000,0.0002863,9.091
2000,1.35e-05,2.06e-06,1e-06,376800000,0.0002345,2.271
2000,1.35e-05,2.06e-06,1.53e-06,376300000,0.0002612,6.358
2000,1.35e-05,2.06e-06,2.06e-06,376000000,0.0002723,7.828
2000,1.35e-05,2.06e-06,2.59e-06,375900000,0.0002784,8.456
2000,1.35e-05,2.06e-06,3.12e-06,375800000,0.000282,8.791
2000,1.35e-05,2.06e-06,3.65e-06,375700000,0.0002848,8.994
2000,1.35e-05,2.06e-06,4.18e-06,375700000,0.0002869,9.132
2000,1.35e-05,2.06e-06,4.71e-06,375600000,0.0002886,9.232
2000,1.35e-05,2.06e-06,5.24e-06,375600000,0.00029,9.309
2000,1.35e-05,2.06e-06,5.77e-06,375600000,0.0002912,9.37
2000,1.35e-05,2.06e-06,6.29e-06,375500000,0.0002923,9.419
2000,1.35e-05,2.06e-06,6.82e-06,375500000,0.0002932,9.46
2000,1.35e-05,2.06e-06,7.35e-06,375500000,0.0002941,9.496
2000,1.35e-05,2.06e-06,7.88e-06,375400000,0.0002949,9.526
2000,1.35e-05,2.06e-06,8.41e-06,375400000,0.0002953,9.553
2000,1.35e-05,2.06e-06,8.94e-06,375400000,0.000296,9.576
2000,1.35e-05,2.06e-06,9.47e-06,375400000,0.0002965,9.597
2000,1.35e-05,2.06e-06,1e-05,375400000,0.000297,9.616
2000,1.35e-05,2.59e-06,4e-06,375900000,0.0003466,10.46
2000,1.35e-05,2.59e-06,1e-06,377400000,0.000263,0.7424
2000,1.35e-05,2.59e-06,1.53e-06,376900000,0.0003046,5.919
2000,1.35e-05,2.59e-06,2.06e-06,376500000,0.0003238,8.293
2000,1.35e-05,2.59e-06,2.59e-06,376200000,0.000334,9.393
2000,1.35e-05,2.59e-06,3.12e-06,376100000,0.0003401,9.967
2000,1.35e-05,2.59e-06,3.65e-06,376000000,0.0003444,10.3
2000,1.35e-05,2.59e-06,4.18e-06,375900000,0.0003476,10.52
2000,1.35e-05,2.59e-06,4.71e-06,375800000,0.0003501,10.67
2000,1.35e-05,2.59e-06,5.24e-06,375800000,0.0003521,10.79
2000,1.35e-05,2.59e-06,5.77e-06,375700000,0.0003538,10.88
2000,1.35e-05,2.59e-06,6.29e-06,375700000,0.0003553,10.95
2000,1.35e-05,2.59e-06,6.82e-06,375700000,0.0003566,11.0
2000,1.35e-05,2.59e-06,7.35e-06,375600000,0.0003577,11.05
2000,1.35e-05,2.59e-06,7.88e-06,375600000,0.0003587,11.09
2000,1.35e-05,2.59e-06,8.41e-06,375600000,0.0003596,11.13
2000,1.35e-05,2.59e-06,8.94e-06,375500000,0.0003605,11.16
2000,1.35e-05,2.59e-06,9.47e-06,375500000,0.0003613,11.19
2000,1.35e-05,2.59e-06,1e-05,375500000,0.000362,11.21
2000,1.35e-05,3.12e-06,4e-06,376200000,0.0004021,11.33
2000,1.35e-05,3.12e-06,1.53e-06,377600000,0.0003387,4.94
2000,1.35e-05,3.12e-06,2.06e-06,377200000,0.0003672,8.021
2000,1.35e-05,3.12e-06,2.59e-06,376800000,0.0003829,9.663
2000,1.35e-05,3.12e-06,3.12e-06,376500000,0.0003925,10.56
2000,1.35e-05,3.12e-06,3.65e-06,376300000,0.0003989,11.09
2000,1.35e-05,3.12e-06,4.18e-06,376200000,0.0004035,11.43
2000,1.35e-05,3.12e-06,4.71e-06,376100000,0.000407,11.66
2000,1.35e-05,3.12e-06,5.24e-06,376000000,0.0004098,11.83
2000,1.35e-05,3.12e-06,5.77e-06,376000000,0.0004121,11.96
2000,1.35e-05,3.12e-06,6.29e-06,375900000,0.0004141,12.05
2000,1.35e-05,3.12e-06,6.82e-06,375900000,0.0004158,12.13
2000,1.35e-05,3.12e-06,7.35e-06,375800000,0.0004173,12.2
2000,1.35e-05,3.12e-06,7.88e-06,375800000,0.0004186,12.25
2000,1.35e-05,3.12e-06,8.41e-06,375800000,0.0004198,12.3
2000,1.35e-05,3.12e-06,8.94e-06,375700000,0.0004209,12.34
2000,1.35e-05,3.12e-06,9.47e-06,375700000,0.0004219,12.38
2000,1.35e-05,3.12e-06,1e-05,375700000,0.0004228,12.41
2000,1.35e-05,3.65e-06,4e-06,376900000,0.0004524,11.72
2000,1.35e-05,3.65e-06,1.53e-06,378300000,0.0003651,3.828
2000,1.35e-05,3.65e-06,2.06e-06,378000000,0.0004029,7.3
2000,1.35e-05,3.65e-06,2.59e-06,377600000,0.000425,9.365
2000,1.35e-05,3.65e-06,3.12e-06,377300000,0.0004387,10.61
2000,1.35e-05,3.65e-06,3.65e-06,377100000,0.0004478,11.38
2000,1.35e-05,3.65e-06,4.18e-06,376900000,0.0004543,11.87
2000,1.35e-05,3.65e-06,4.71e-06,376800000,0.0004592,12.2
2000,1.35e-05,3.65e-06,5.24e-06,376700000,0.000463,12.43
2000,1.35e-05,3.65e-06,5.77e-06,376600000,0.0004662,12.6
2000,1.35e-05,3.65e-06,6.29e-06,376600000,0.0004687,12.74
2000,1.35e-05,3.65e-06,6.82e-06,376500000,0.0004709,12.84
2000,1.35e-05,3.65e-06,7.35e-06,376500000,0.0004728,12.92
2000,1.35e-05,3.65e-06,7.88e-06,376500000,0.0004744,12.98
2000,1.35e-05,3.65e-06,8.41e-06,376500000,0.0004759,13.03
2000,1.35e-05,3.65e-06,8.94e-06,376500000,0.0004773,13.08
2000,1.35e-05,3.65e-06,9.47e-06,376500000,0.0004785,13.11
2000,1.35e-05,3.65e-06,1e-05,376500000,0.0004796,13.14
2000,1.35e-05,4.18e-06,4e-06,379200000,0.0004963,11.27
2000,1.35e-05,4.18e-06,1.53e-06,378900000,0.000386,2.719
2000,1.35e-05,4.18e-06,2.06e-06,379000000,0.0004318,6.328
2000,1.35e-05,4.18e-06,2.59e-06,379000000,0.0004601,8.591
2000,1.35e-05,4.18e-06,3.12e-06,379000000,0.0004782,10.01
2000,1.35e-05,4.18e-06,3.65e-06,379100000,0.0004903,10.88
2000,1.35e-05,4.18e-06,4.18e-06,379300000,0.0004988,11.43
2000,1.35e-05,4.18e-06,4.71e-06,379500000,0.0005051,11.77
2000,1.35e-05,4.18e-06,5.24e-06,379800000,0.0005099,11.98
2000,1.35e-05,4.18e-06,5.77e-06,380100000,0.0005137,12.12
2000,1.35e-05,4.18e-06,6.29e-06,380300000,0.0005167,12.2
2000,1.35e-05,4.18e-06,6.82e-06,380600000,0.0005193,12.25
2000,1.35e-05,4.18e-06,7.35e-06,380800000,0.0005214,12.28
2000,1.35e-05,4.18e-06,7.88e-06,381100000,0.0005233,12.29
2000,1.35e-05,4.18e-06,8.41e-06,381300000,0.0005249,12.3
2000,1.35e-05,4.18e-06,8.94e-06,381500000,0.0005263,12.29
2000,1.35e-05,4.18e-06,9.47e-06,381700000,0.0005275,12.28
2000,1.35e-05,4.18e-06,1e-05,381900000,0.0005286,12.27
2000,1.35e-05,4.71e-06,4e-06,386700000,0.0005305,9.166
2000,1.35e-05,4.71e-06,1.53e-06,379400000,0.0004027,1.668
2000,1.35e-05,4.71e-06,2.06e-06,380100000,0.0004551,5.249
2000,1.35e-05,4.71e-06,2.59e-06,381400000,0.0004885,7.35
2000,1.35e-05,4.71e-06,3.12e-06,383300000,0.0005099,8.439
2000,1.35e-05,4.71e-06,3.65e-06,385400000,0.0005238,8.966
2000,1.35e-05,4.71e-06,4.18e-06,387300000,0.0005334,9.243
2000,1.35e-05,4.71e-06,4.71e-06,388800000,0.0005402,9.423
2000,1.35e-05,4.71e-06,5.24e-06,389800000,0.0005453,9.557
2000,1.35e-05,4.71e-06,5.77e-06,390600000,0.0005493,9.662
2000,1.35e-05,4.71e-06,6.29e-06,391200000,0.0005525,9.746
2000,1.35e-05,4.71e-06,6.82e-06,391700000,0.0005551,9.815
2000,1.35e-05,4.71e-06,7.35e-06,392000000,0.0005573,9.872
2000,1.35e-05,4.71e-06,7.88e-06,392300000,0.0005591,9.919
2000,1.35e-05,4.71e-06,8.41e-06,392500000,0.0005607,9.958
2000,1.35e-05,4.71e-06,8.94e-06,392700000,0.000562,9.992
2000,1.35e-05,4.71e-06,9.47e-06,392900000,0.0005632,10.02
2000,1.35e-05,4.71e-06,1e-05,393000000,0.0005643,10.04
2000,1.35e-05,5.24e-06,4e-06,399200000,0.0005539,6.186
2000,1.35e-05,5.24e-06,1.53e-06,379900000,0.0004164,0.685
2000,1.35e-05,5.24e-06,2.06e-06,381600000,0.000474,4.1
2000,1.35e-05,5.24e-06,2.59e-06,385400000,0.0005106,5.652
2000,1.35e-05,5.24e-06,3.12e-06,391200000,0.000533,6.041
2000,1.35e-05,5.24e-06,3.65e-06,396500000,0.0005471,6.131
2000,1.35e-05,5.24e-06,4.18e-06,400400000,0.0005567,6.217
2000,1.35e-05,5.24e-06,4.71e-06,403200000,0.0005636,6.316
2000,1.35e-05,5.24e-06,5.24e-06,405200000,0.0005688,6.418
2000,1.35e-05,5.24e-06,5.77e-06,406700000,0.0005728,6.514
2000,1.35e-05,5.24e-06,6.29e-06,407700000,0.0005761,6.602
2000,1.35e-05,5.24e-06,6.82e-06,408600000,0.0005788,6.682
2000,1.35e-05,5.24e-06,7.35e-06,409200000,0.0005811,6.753
2000,1.35e-05,5.24e-06,7.88e-06,409700000,0.000583,6.811
2000,1.35e-05,5.24e-06,8.41e-06,410100000,0.0005847,6.869
2000,1.35e-05,5.24e-06,8.94e-06,410400000,0.0005861,6.923
2000,1.35e-05,5.24e-06,9.47e-06,410600000,0.0005873,6.972
2000,1.35e-05,5.24e-06,1e-05,410800000,0.0005884,7.014
2000,1.35e-05,5.77e-06,4e-06,413200000,0.0005696,3.472
2000,1.35e-05,5.77e-06,2.06e-06,383400000,0.0004893,2.903
2000,1.35e-05,5.77e-06,2.59e-06,391100000,0.0005272,3.713
2000,1.35e-05,5.77e-06,3.12e-06,401000000,0.0005493,3.579
2000,1.35e-05,5.77e-06,3.65e-06,409000000,0.000563,3.482
2000,1.35e-05,5.77e-06,4.18e-06,414900000,0.0005724,3.477
2000,1.35e-05,5.77e-06,4.71e-06,419400000,0.0005792,3.513
