Vgate,Vbias,VDD,W1,W2,Bandwidth,DCPowerConsumption,VoltageGain
0.8,0.7,1.2,5e-05,5e-06,16400000000.0,0.000316,-2.387
0.8,0.7,1.2,5e-05,2e-06,9670000000.0,0.00013,-2.334
0.8,0.7,1.2,5e-05,3e-06,12600000000.0,0.000193,-2.354
0.8,0.7,1.2,5e-05,4e-06,14800000000.0,0.000255,-2.371
0.8,0.7,1.2,5e-05,6e-06,17800000000.0,0.000377,-2.401
0.8,0.7,1.2,5e-05,7e-06,19000000000.0,0.000438,-2.415
0.8,0.7,1.2,5e-05,8e-06,20100000000.0,0.000498,-2.428
0.8,0.7,1.2,4e-05,5e-06,20900000000.0,0.000314,-2.405
0.8,0.7,1.2,4e-05,2e-06,11700000000.0,0.000129,-2.344
0.8,0.7,1.2,4e-05,3e-06,15700000000.0,0.000192,-2.367
0.8,0.7,1.2,4e-05,4e-06,18300000000.0,0.000253,-2.387
0.8,0.7,1.2,4e-05,6e-06,22800000000.0,0.000374,-2.422
0.8,0.7,1.2,4e-05,7e-06,24200000000.0,0.000434,-2.438
0.8,0.7,1.2,4e-05,8e-06,25400000000.0,0.000494,-2.454
0.8,0.7,1.2,4.25e-05,5e-06,19600000000.0,0.000315,-2.4
0.8,0.7,1.2,4.25e-05,2e-06,11100000000.0,0.00013,-2.341
0.8,0.7,1.2,4.25e-05,3e-06,14800000000.0,0.000192,-2.363
0.8,0.7,1.2,4.25e-05,4e-06,17400000000.0,0.000254,-2.382
0.8,0.7,1.2,4.25e-05,6e-06,21400000000.0,0.000375,-2.416
0.8,0.7,1.2,4.25e-05,7e-06,22800000000.0,0.000435,-2.431
0.8,0.7,1.2,4.25e-05,8e-06,23900000000.0,0.000495,-2.446
0.8,0.7,1.2,4.5e-05,5e-06,18300000000.0,0.000315,-2.395
0.8,0.7,1.2,4.5e-05,2e-06,10600000000.0,0.00013,-2.339
0.8,0.7,1.2,4.5e-05,3e-06,14000000000.0,0.000193,-2.36
0.8,0.7,1.2,4.5e-05,4e-06,16400000000.0,0.000254,-2.378
0.8,0.7,1.2,4.5e-05,6e-06,20100000000.0,0.000376,-2.41
0.8,0.7,1.2,4.5e-05,7e-06,21500000000.0,0.000436,-2.425
0.8,0.7,1.2,4.5e-05,8e-06,22600000000.0,0.000496,-2.44
0.8,0.7,1.2,4.75e-05,5e-06,17400000000.0,0.000316,-2.391
0.8,0.7,1.2,4.75e-05,2e-06,10100000000.0,0.00013,-2.336
0.8,0.7,1.2,4.75e-05,3e-06,13300000000.0,0.000193,-2.357
0.8,0.7,1.2,4.75e-05,4e-06,15600000000.0,0.000255,-2.375
0.8,0.7,1.2,4.75e-05,6e-06,18900000000.0,0.000377,-2.406
0.8,0.7,1.2,4.75e-05,7e-06,20300000000.0,0.000437,-2.42
0.8,0.7,1.2,4.75e-05,8e-06,21300000000.0,0.000497,-2.434
0.8,0.7,1.2,5.25e-05,5e-06,15600000000.0,0.000317,-2.383
0.8,0.7,1.2,5.25e-05,2e-06,9240000000.0,0.00013,-2.331
0.8,0.7,1.2,5.25e-05,3e-06,11900000000.0,0.000193,-2.351
0.8,0.7,1.2,5.25e-05,4e-06,14100000000.0,0.000256,-2.368
0.8,0.7,1.2,5.25e-05,6e-06,16800000000.0,0.000378,-2.397
0.8,0.7,1.2,5.25e-05,7e-06,17900000000.0,0.000439,-2.41
0.8,0.7,1.2,5.25e-05,8e-06,18900000000.0,0.000499,-2.423
0.8,0.7,1.2,5.5e-05,5e-06,14800000000.0,0.000318,-2.38
0.8,0.7,1.2,5.5e-05,2e-06,8830000000.0,0.000131,-2.329
0.8,0.7,1.2,5.5e-05,3e-06,11300000000.0,0.000194,-2.349
0.8,0.7,1.2,5.5e-05,4e-06,13300000000.0,0.000256,-2.365
