L,Wn,Wvar,DCPowerConsumption,OscillationFrequency,TuningRange,OutputPower,PhaseNoise
2.5e-10,2e-05,1e-05,0.00929,31300000000.0,1310000000.0,4.776,-92.07
2.5e-10,2e-05,5e-06,0.00929,32700000000.0,831000000.0,4.555,-95.93
2.5e-10,2e-05,5.5e-06,0.00929,32600000000.0,901000000.0,4.601,-100.2
2.5e-10,2e-05,6e-06,0.00929,32400000000.0,939000000.0,4.636,-93.13
2.5e-10,2e-05,6.5e-06,0.00929,32300000000.0,998000000.0,4.668,-94.68
2.5e-10,2e-05,7e-06,0.00929,32100000000.0,1060000000.0,4.695,-94.05
2.5e-10,2e-05,7.5e-06,0.00929,32000000000.0,1110000000.0,4.723,-93.25
2.5e-10,2e-05,8e-06,0.00929,31800000000.0,1150000000.0,4.74,-93.92
2.5e-10,2e-05,8.5e-06,0.00929,31700000000.0,1200000000.0,4.754,-92.6
2.5e-10,2e-05,9e-06,0.00929,31600000000.0,1240000000.0,4.763,-93.56
2.5e-10,2e-05,9.5e-06,0.00929,31400000000.0,1260000000.0,4.772,-94.32
2.5e-10,2e-05,1.05e-05,0.00929,31200000000.0,1330000000.0,4.773,-93.32
2.5e-10,2e-05,1.1e-05,0.00929,31000000000.0,1370000000.0,4.769,-91.78
2.5e-10,2e-05,1.15e-05,0.00929,30900000000.0,1390000000.0,4.764,-91.42
2.5e-10,2e-05,1.2e-05,0.00929,30800000000.0,1430000000.0,4.75,-91.61
2.5e-10,2e-05,1.25e-05,0.00929,30700000000.0,1460000000.0,4.736,-91.6
2.5e-10,2e-05,1.3e-05,0.00929,30600000000.0,1460000000.0,4.712,-90.94
2.5e-10,2e-05,1.35e-05,0.00929,30500000000.0,1490000000.0,4.693,-90.78
2.5e-10,2e-05,1.4e-05,0.00929,30400000000.0,1510000000.0,4.662,-90.65
2.5e-10,2e-05,1.45e-05,0.00929,30300000000.0,1520000000.0,4.632,-89.8
2.5e-10,2e-05,1.5e-05,0.00929,30200000000.0,1530000000.0,4.602,-88.38
2.5e-10,2e-05,1.55e-05,0.00929,30100000000.0,1550000000.0,4.56,-90.35
2.5e-10,2e-05,1.6e-05,0.00929,30000000000.0,1550000000.0,4.519,-90.72
2.5e-10,2e-05,1.65e-05,0.00929,29900000000.0,1560000000.0,4.477,-88.81
2.5e-10,2e-05,1.7e-05,0.00929,29900000000.0,1560000000.0,4.427,-90.23
2.5e-10,2e-05,1.75e-05,0.00929,29800000000.0,1570000000.0,4.371,-90.6
2.5e-10,2e-05,1.8e-05,0.00929,29700000000.0,1570000000.0,4.316,-90.42
2.5e-10,2e-05,1.85e-05,0.00929,29700000000.0,1570000000.0,4.255,-90.43
2.5e-10,2e-05,1.9e-05,0.00929,29600000000.0,1560000000.0,4.191,-87.62
2.5e-10,2e-05,1.95e-05,0.00929,29500000000.0,1550000000.0,4.127,-90.2
2.5e-10,2e-05,2e-05,0.00929,29500000000.0,1550000000.0,4.057,-90.56
2.5e-10,2e-05,2.05e-05,0.00929,29400000000.0,1530000000.0,3.986,-89.69
2.5e-10,2e-05,2.1e-05,0.00929,29400000000.0,1530000000.0,3.91,-78.42
2.5e-10,2e-05,2.15e-05,0.00929,29400000000.0,1500000000.0,3.832,-88.25
2.5e-10,2e-05,2.2e-05,0.00929,29300000000.0,1490000000.0,3.748,-90.43
2.5e-10,2e-05,2.25e-05,0.00929,29300000000.0,1460000000.0,3.668,-89.49
2.5e-10,2e-05,2.3e-05,0.00929,29300000000.0,1440000000.0,3.584,-89.09
2.5e-10,2e-05,2.35e-05,0.00929,29200000000.0,1420000000.0,3.497,-89.07
2.5e-10,2e-05,2.4e-05,0.00929,29200000000.0,1400000000.0,3.4,-85.92
2.5e-10,2e-05,2.45e-05,0.00929,29200000000.0,1360000000.0,3.304,-97.37
2.5e-10,2e-05,2.5e-05,0.00929,29200000000.0,1330000000.0,3.224,-89.37
2.5e-10,2e-05,2.55e-05,0.00929,29200000000.0,1290000000.0,3.115,-88.04
2.5e-10,2e-05,2.6e-05,0.00929,29200000000.0,1260000000.0,3.033,-90.38
2.5e-10,2e-05,2.65e-05,0.00929,29100000000.0,1220000000.0,2.939,-89.56
2.5e-10,2e-05,2.7e-05,0.00929,29100000000.0,1180000000.0,2.833,-90.21
2.5e-10,2e-05,2.75e-05,0.00929,29100000000.0,1130000000.0,2.744,-90.51
2.5e-10,2e-05,2.8e-05,0.00929,29100000000.0,1080000000.0,2.64,-90.19
2.5e-10,2e-05,2.85e-05,0.00929,29100000000.0,1040000000.0,2.549,-90.86
2.5e-10,2e-05,2.9e-05,0.00929,29200000000.0,985000000.0,2.454,-91.0
2.5e-10,2e-05,2.95e-05,0.00929,29200000000.0,933000000.0,2.358,-91.23
2.5e-10,2e-05,3e-05,0.00929,29200000000.0,884000000.0,2.254,-90.75
