C1,C2,L1,L2,Wn,Wvar,DCPowerConsumption,OscillationFrequency,TuningRange,OutputPower,PhaseNoise
8e-13,1e-13,5e-10,6e-10,5e-06,5e-06,0.0776,28800000000.0,1370000000.0,12.27,-96.74
8e-13,1e-13,5e-10,6e-10,5e-06,5.5e-06,0.0776,28600000000.0,3630000000.0,11.02,-93.0
8e-13,1e-13,5e-10,6e-10,5e-06,6e-06,0.0776,28600000000.0,2060000000.0,10.64,-94.84
8e-13,1e-13,5e-10,6e-10,5e-06,6.5e-06,0.0776,29100000000.0,2130000000.0,10.16,-96.31
8e-13,1e-13,5e-10,6e-10,5e-06,7e-06,0.0776,29000000000.0,975000000.0,11.69,-83.07
8e-13,1e-13,5e-10,6e-10,5e-06,7.5e-06,0.0776,28800000000.0,1420000000.0,9.462,-96.57
8e-13,1e-13,5e-10,6e-10,5e-06,8e-06,0.0776,28700000000.0,722000000.0,9.135,-95.71
8e-13,1e-13,5e-10,6e-10,5e-06,8.5e-06,0.0776,28700000000.0,959000000.0,11.36,-90.28
8e-13,1e-13,5e-10,6e-10,5e-06,9e-06,0.0776,28700000000.0,929000000.0,8.441,-94.12
8e-13,1e-13,5e-10,6e-10,5.5e-06,5.5e-06,0.0853,27800000000.0,3830000000.0,11.71,-90.35
8e-13,1e-13,5e-10,6e-10,5.5e-06,6e-06,0.0853,28800000000.0,3730000000.0,10.87,-88.41
8e-13,1e-13,5e-10,6e-10,5.5e-06,6.5e-06,0.0853,28500000000.0,386000000.0,12.04,-93.51
8e-13,1e-13,5e-10,6e-10,5.5e-06,7e-06,0.0853,28200000000.0,1940000000.0,10.15,-95.03
8e-13,1e-13,5e-10,6e-10,5.5e-06,7.5e-06,0.0853,28000000000.0,2190000000.0,9.778,-94.69
8e-13,1e-13,5e-10,6e-10,5.5e-06,8e-06,0.0853,27800000000.0,998000000.0,11.68,-92.01
8e-13,1e-13,5e-10,6e-10,5.5e-06,8.5e-06,0.0853,27600000000.0,1480000000.0,9.13,-94.15
8e-13,1e-13,5e-10,6e-10,6e-06,5e-06,0.0931,27400000000.0,2120000000.0,8.918,-80.9
8e-13,1e-13,5e-10,6e-10,6e-06,5.5e-06,0.0931,29200000000.0,3890000000.0,8.858,-81.21
8e-13,1e-13,5e-10,6e-10,6e-06,6e-06,0.0931,28500000000.0,3850000000.0,9.844,-71.81
8e-13,1e-13,5e-10,6e-10,6e-06,6.5e-06,0.0931,26700000000.0,3770000000.0,11.22,-85.31
8e-13,1e-13,5e-10,6e-10,6e-06,7.5e-06,0.0931,26000000000.0,3810000000.0,10.28,-92.03
8e-13,1e-13,5e-10,6e-10,6e-06,8e-06,0.0931,26400000000.0,1960000000.0,9.817,-93.0
8e-13,1e-13,5e-10,6e-10,6e-06,8.5e-06,0.0931,26900000000.0,1590000000.0,9.265,-84.76
8e-13,1e-13,5e-10,6e-10,6e-06,9e-06,0.0931,26700000000.0,3660000000.0,11.43,-90.18
8e-13,1e-13,5e-10,6e-10,6.5e-06,5e-06,0.101,28000000000.0,2650000000.0,8.541,-82.17
8e-13,1e-13,5e-10,6e-10,6.5e-06,5.5e-06,0.101,28000000000.0,3260000000.0,8.543,-81.95
8e-13,1e-13,5e-10,6e-10,6.5e-06,6.5e-06,0.101,26400000000.0,3120000000.0,9.71,-87.57
8e-13,1e-13,5e-10,6e-10,6.5e-06,8e-06,0.101,25600000000.0,3730000000.0,10.07,-87.58
8e-13,1e-13,5e-10,6e-10,6.5e-06,8.5e-06,0.101,25300000000.0,3840000000.0,9.954,-89.5
8e-13,1e-13,5e-10,6e-10,6.5e-06,9e-06,0.101,25100000000.0,1330000000.0,8.117,-92.51
8e-13,1e-13,5e-10,6e-10,7e-06,6e-06,0.109,26600000000.0,3150000000.0,8.196,-82.52
8e-13,1e-13,5e-10,6e-10,7e-06,6.5e-06,0.109,26600000000.0,3470000000.0,8.134,-82.2
8e-13,1e-13,5e-10,6e-10,7e-06,7e-06,0.109,26700000000.0,3750000000.0,7.96,-81.16
8e-13,1e-13,5e-10,6e-10,7e-06,8.5e-06,0.109,25600000000.0,3730000000.0,10.29,-78.8
8e-13,1e-13,5e-10,6e-10,7.5e-06,5e-06,0.116,26000000000.0,1800000000.0,7.975,-83.82
8e-13,1e-13,5e-10,6e-10,7.5e-06,6.5e-06,0.116,25900000000.0,2870000000.0,7.868,-83.17
8e-13,1e-13,5e-10,6e-10,7.5e-06,7e-06,0.116,26100000000.0,3320000000.0,7.812,-82.89
8e-13,1e-13,5e-10,6e-10,7.5e-06,8.5e-06,0.116,24900000000.0,607000000.0,9.989,-91.43
8e-13,1e-13,5e-10,6e-10,8e-06,7e-06,0.124,25000000000.0,2560000000.0,7.554,-83.85
8e-13,1e-13,5e-10,6e-10,8e-06,7.5e-06,0.124,24900000000.0,2980000000.0,7.501,-83.61
8e-13,1e-13,5e-10,6e-10,8e-06,9e-06,0.124,24900000000.0,3670000000.0,7.02,-80.87
8e-13,1e-13,5e-10,6e-10,8.5e-06,5e-06,0.132,24700000000.0,1540000000.0,7.541,-85.72
8e-13,1e-13,5e-10,6e-10,8.5e-06,5.5e-06,0.132,24600000000.0,1580000000.0,7.479,-84.84
8e-13,1e-13,5e-10,6e-10,8.5e-06,6.5e-06,0.132,24300000000.0,1680000000.0,7.36,-84.92
